,Num_block,Block_ID,Trial_ID,Resp_loc,Resp_conf,Correct,RT_resp,RT_conf,Wager,X,N,x_mean,Mouse_track
0,1.0,3.0,1.0,81.0,2.0,0.0,7.050351731999967,1.3879838459999974,0.0,[[55.78317267 99.94063079]],2.0,77.8619017282991,"[[ 57.375  57.375  57.375  57.375  57.375  57.375  57.375  57.375  74.5
   81.625  81.75   81.75   81.75   81.75   81.75   81.75   81.75   81.75
   81.75   81.75   81.75   81.75   81.75   81.75   81.75   81.75   81.75
   81.75   81.75   81.75   81.75   81.75   81.75   81.75   81.75   81.75
   81.75   81.75   81.75   81.75   81.75   81.75   81.75   81.75   81.75
   81.75   81.75   81.75   81.75   81.75   81.75   81.75   81.75   81.75
   81.75   81.75   81.75   81.75   81.75   81.75   81.75   81.75   81.75
   81.75   81.75   81.75   81.875   0.      0.      0.      0.      0.
    0.      0.      0.      0.      0.      0.      0.      0.      0.
    3.375  89.5   100.    100.    100.    100.    100.    100.    100.
  100.     49.375   0.      0.      0.      0.      0.      0.      0.
    0.      0.      0.      0.      0.      0.      3.     11.     11.
   11.5    13.75   30.75   33.125  34.125  39.5    42.875  43.375  44.25
   45.625  51.375  52.375  52.375  52.5    53.5    53.875  53.875  53.875
   53.875  53.875  53.875  53.875  53.875  54.     54.625  54.625  54.625
   54.625  54.625  54.625  55.     55.     55.125  56.     57.     57.375
   57.5    59.     61.5    62.     62.     62.     62.375  69.75   74.375
   74.375  74.375  74.375  74.375  74.375  74.375  74.375  74.375  74.375
   74.375  74.125  74.     74.     74.5    79.625  79.75   79.75   79.75
   79.75   79.75   79.75   79.75   79.75   79.75   79.75   80.25   81.
   81.     81.     81.     81.     81.     81.     81.     81.     81.
   81.     81.     81.     81.   ]]"
1,1.0,3.0,2.0,49.0,14.0,1.0,10.308563894999907,1.1204867040000863,7.0,[[ 6.20066244 22.64858116 33.83052303 70.41418623 79.58082702 91.93314903]],6.0,50.76798815161411,"[[ 93.625  93.625  93.625  93.625  93.625  93.625  93.625  93.625  92.25
   89.5    89.5    89.5    97.25  100.    100.    100.    100.    100.
  100.    100.    100.     96.75   65.     52.75   43.25   37.375  36.75
   35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875
   35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875
   35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875
   35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875
   35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875
   35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875
   35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875
   35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875
   35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875
   35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875  35.875
   35.875  35.875  35.875  35.875  54.625  85.75   85.875  91.25   90.375
   90.125  80.125  69.875  57.25   44.125  33.625  34.625  34.625  35.75
   45.625  45.75   45.875  47.75   48.     47.625  47.625  47.375  47.375
   47.375  47.375  47.5    47.5    47.5    47.5    47.625  47.75   48.625
   49.25   49.25   49.375]]"
2,1.0,3.0,3.0,54.0,4.0,1.0,1.4997059730000046,0.5656035629999678,12.0,[[26.15655138 54.42867083 84.97792361]],3.0,55.187715273436844,"[[53.75  42.875 42.875 42.875 42.875 42.875 42.875 42.875 43.375 47.125
  47.125 47.125 47.125 47.125 47.125 47.125 47.625 47.75  47.75  47.75
  47.875 48.5   48.625 48.875 49.875 53.25  53.5   53.5   53.5   53.5  ]]"
3,1.0,3.0,4.0,52.0,4.0,0.0,1.8237568959999635,0.7237699120000798,0.0,[[32.17213623 64.43764143]],2.0,48.304888826894796,"[[37.375 37.375 37.375 37.375 37.375 37.375 37.375 37.375 37.375 37.5
  41.75  46.5   47.125 47.125 47.25  48.25  52.5   53.25  53.25  53.
  52.25  52.125 52.125 52.125 52.125 52.    52.    52.    52.    52.
  52.    52.    52.    52.    52.    52.    52.    52.    52.    52.
  52.    52.    52.    52.    52.    52.    52.    52.    52.   ]]"
4,1.0,3.0,5.0,47.0,18.0,1.0,4.397173201999976,2.049944068000059,6.0,[[ 3.07584089 24.42606328 42.3822003  97.45014095 99.02295203]],5.0,53.27143949226983,"[[42.625 42.625 42.625 42.625 42.625 42.625 42.625 42.625 42.625 42.625
  42.625 42.625 42.625 42.625 42.625 42.625 42.625 42.625 42.625 42.625
  42.625 42.625 42.625 42.625 42.625 42.625 42.75  43.625 54.375 64.125
  67.625 68.875 68.875 68.875 68.875 68.875 68.875 68.875 68.875 69.375
  56.125 37.25  37.25  37.25  36.875 36.75  36.75  36.75  40.25  41.75
  44.625 46.25  46.25  46.25  46.25  46.5   46.5   46.5   46.5   46.625
  46.625 46.625 46.625 46.625 46.625 46.625 46.625 46.625 46.625 46.625
  46.625 46.625 46.625 46.625 46.625 46.625 46.625 46.625]]"
5,1.0,3.0,6.0,20.0,4.0,1.0,6.273704666999947,0.47034607000000506,12.0,[[ 4.28493479 17.28565843 41.5418778 ]],3.0,21.037490339793074,"[[71.75  71.75  71.75  71.75  71.75  71.75  71.75  68.75  60.75  59.
  58.    57.75  57.75  57.75  57.125 55.25  55.25  54.375 54.125 54.
  52.5   51.5   51.5   51.5   51.5   51.5   51.375 51.375 51.375 51.375
  51.    50.625 50.625 50.625 50.625 50.625 50.625 50.625 50.625 50.625
  50.625 50.625 50.625 50.625 50.625 50.625 50.625 50.625 50.625 50.625
  50.625 50.625 50.625 50.625 50.625 50.625 50.625 50.625 50.625 50.625
  50.625 50.625 50.625 50.625 50.625 50.625 50.625 50.625 49.875 47.75
  47.75  47.75  47.75  47.75  47.75  47.75  44.125 39.875 39.75  38.875
  34.375 34.125 34.125 34.125 34.125 34.125 34.125 34.125 34.125 34.
  34.    33.5   32.75  31.5   28.75  28.75  28.75  28.75  28.75  28.75
  28.75  28.75  27.    25.125 25.125 25.125 25.125 25.125 25.125 25.125
  25.    24.625 24.    23.    23.    22.    21.25  21.    20.875 20.5
  20.5   20.5   20.5   20.5   20.375 20.375 20.375 20.375]]"
6,1.0,3.0,7.0,35.0,6.0,0.0,4.599722115000077,0.7853638100000353,0.0,[[ 3.83679083  4.99824817 19.44804715 54.23136163 72.46278598]],5.0,30.995446751376647,"[[15.5   15.5   15.5   15.5   15.5   15.5   15.5   15.5   15.5   15.5
  17.625 50.875 56.75  54.875 53.125 53.125 53.    51.375 49.875 49.875
  49.875 49.875 49.875 49.875 49.875 49.875 49.875 49.875 49.875 49.875
  49.875 49.875 49.875 49.625 49.5   49.5   49.375 49.25  49.25  49.25
  49.25  48.875 48.875 48.875 48.875 48.625 48.625 48.625 48.625 48.625
  48.625 48.125 47.5   47.5   47.5   47.5   47.5   44.25  42.375 42.375
  42.    42.    42.    41.875 41.5   40.625 39.25  38.375 38.375 38.375
  37.875 37.75  37.75  36.    35.375 35.375 35.375 35.375 35.375]]"
7,1.0,3.0,8.0,51.0,6.0,1.0,1.543942199000071,0.35959410400005254,11.0,[[15.2193268  55.15699872 59.65758935 74.94403579]],4.0,51.24448766404046,"[[ 8.125  8.125  8.125  8.125  8.125  8.125  8.     8.125 11.875 24.125
  27.375 36.125 53.875 57.25  57.25  56.125 56.125 55.5   55.    54.875
  54.875 54.875 54.875 54.875 54.25  51.    50.75  50.75  50.75  50.75 ]]"
8,1.0,3.0,9.0,70.0,2.0,0.0,2.2967591079999465,0.35890945200003443,0.0,[[66.34694578 82.68689266]],2.0,74.51691921892484,"[[13.875 13.875 13.875 13.875 13.875 13.875 13.875 13.875 13.75  20.375
  34.    44.625 44.875 44.625 44.    43.875 43.625 43.5   43.5   44.5
  44.875 46.125 46.5   46.5   46.5   46.625 46.75  46.875 47.125 47.375
  47.625 48.375 49.5   50.5   51.625 55.75  57.375 60.75  71.875 82.625
  83.25  83.25  83.125 82.375 82.25  81.75  77.    70.375 70.125 70.125
  70.125 69.875 69.875 69.875 69.875 69.875 69.875 69.875 69.875 69.875
  69.875]]"
9,1.0,3.0,10.0,52.0,4.0,0.0,3.115847975000065,0.3303392970000232,0.0,[[29.50705242 81.37685239 88.89249794]],3.0,66.59213424995188,"[[68.375 87.75  87.75  87.75  87.75  87.75  85.875 77.625 60.375 54.875
  54.125 54.125 54.125 54.125 54.125 54.125 53.625 52.375 52.    52.
  52.    52.    52.    52.    52.    52.    52.    51.75  51.625 51.625
  51.625 51.625 51.625 51.625 51.625 51.625 51.625 51.625 51.625 51.625
  51.625 51.625 51.625 51.625 51.625 51.625 51.625 51.625 51.625 51.625
  51.625 51.625 51.625 51.625 51.625 51.625 51.625 51.625 51.625 51.625
  51.625 51.625 51.625]]"
