,Num_block,Block_ID,Trial_ID,Resp_loc,Resp_conf,Correct,RT_resp,RT_conf,Wager,X,N,x_mean,Mouse_track
0,0.0,6.0,1.0,52.875,5.5,1.0,3.8169159130047774,3.025452325993683,11.0,[[22.40541073 34.38119699 48.08018168 59.26497359 73.53029548 73.6646111 ]],6.0,51.887778260767874,"[[95.75  95.75  95.75  95.75  95.75  95.75  95.75  95.75  95.75  95.75
  95.75  95.75  95.75  95.75  95.75  95.75  95.75  95.75  95.75  95.75
  95.75  95.75  95.75  95.75  95.75  95.75  95.75  95.75  95.75  95.75
  95.75  95.75  95.75  95.75  95.75  95.75  95.75  95.75  95.75  95.75
  95.75  95.75  95.75  95.75  95.75  95.75  95.75  95.75  92.75  59.5
  22.75   6.5    6.     6.     6.     6.     6.     6.     6.     6.
   6.     6.     6.     6.     6.     6.     6.     6.     6.     6.
   6.     6.     6.     6.     6.     6.     6.     6.     6.75   6.75
   7.625  7.625  7.625  7.625  7.625  7.625  7.625  7.625  7.75   7.875
   8.25   9.25  11.25  17.125 22.    24.125 24.375 24.875 25.    25.875
  29.    31.375 31.875 32.    32.    32.125 32.25  32.5   32.5   33.
  33.75  34.625 35.125 35.25  35.375 35.625 35.875 36.25  37.125 37.75
  38.25  38.625 38.75  38.875 39.    39.375 39.625 39.625 40.25  40.625
  40.625 40.875 42.125 42.75  43.375 44.125 44.5   44.625 44.875 45.
  45.375 45.625 45.625 45.625 45.75  45.875 46.125 46.375 46.75  46.875
  46.875 46.875 47.    47.5   48.    48.625 48.875 49.    49.25  49.375
  49.5   49.5   49.625 49.625 49.75  49.75  49.75  50.    50.125 50.5
  51.    51.625 51.875 52.    52.    52.    52.    52.    52.25  52.375
  52.375 52.375 52.375 52.375 52.375 52.375 52.375 52.375 52.375 52.375
  52.375 52.375 52.375 52.375 52.375 52.375 52.375 52.375 52.375 52.375
  52.375 52.375 52.375 52.375 52.375 52.375 52.5   52.625 52.625 52.75
  52.875 52.875 52.875 52.875 52.875 52.875 52.875 52.875 52.875 52.875
  52.875 52.875 52.875 52.875 52.875]]"
1,0.0,6.0,2.0,33.375,7.0,1.0,4.965468157999567,1.4408985110057984,11.0,[[ 4.10862149 26.42168625 61.96427653]],2.0,30.831528091515143,"[[78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875
  78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875
  78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875
  78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875
  78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875
  78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875
  78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875
  78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875
  78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875
  78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875
  78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875
  78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875
  78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875 78.875
  78.875 78.875 78.875 78.875 78.125 76.625 76.5   76.5   76.5   76.125
  76.125 72.5   65.625 58.875 51.5   43.625 37.75  36.    36.    36.
  36.    36.    36.    36.    36.    35.875 35.875 35.875 35.875 35.875
  35.875 35.875 35.875 35.875 35.875 35.75  35.5   35.375 35.25  35.25
  35.125 35.    35.    35.    35.    35.    35.    35.    35.    35.
  35.    35.    35.    34.875 34.875 34.875 34.75  34.75  34.75  34.75
  34.75  34.75  34.625 34.625 34.5   34.375 34.375 34.25  34.125 34.
  33.875 33.875 33.75  33.75  33.75  33.75  33.75  33.75  33.75  33.75
  33.625 33.625 33.625 33.625 33.625 33.5   33.5   33.375 33.125 33.
  33.    32.75  32.75  32.625 32.5   32.5   32.5   32.5   32.5   32.5
  32.5   32.5   32.5   32.5   32.5   32.5   32.5   32.5   32.5   32.625
  33.125 33.375 33.625 33.75  33.75  33.75  33.75  33.75  33.75  33.75
  33.75  33.75  33.75  33.75  33.75  33.75  33.75  33.75  33.75  33.75
  33.75  33.75  33.75  33.625 33.625 33.625 33.5   33.5   33.5   33.5
  33.5   33.5   33.5   33.375 33.375 33.375 33.375 33.375 33.375 33.375
  33.375 33.375 33.375 33.375 33.375 33.375 33.375 33.375 33.375 33.375
  33.375 33.375 33.375 33.375 33.375 33.375 33.375 33.375]]"
2,0.0,6.0,3.0,70.125,7.75,0.0,2.159220571993501,0.8674871080002049,0.0,[[26.4100946  57.69696013 79.77522809 87.41764244]],6.0,62.82498131551368,"[[98.625 98.625 98.625 98.625 98.625 98.625 98.625 98.625 98.625 98.625
  98.625 98.625 98.625 98.625 98.625 98.625 98.625 98.625 98.625 98.625
  98.625 98.625 98.625 98.625 98.625 98.625 98.625 98.125 97.25  97.25
  97.125 94.875 89.625 84.25  81.25  80.125 79.75  79.25  78.875 78.75
  78.75  78.75  78.75  78.75  78.75  78.75  78.75  78.75  78.5   77.75
  77.25  76.375 75.75  74.375 71.5   69.125 68.    68.    67.75  67.75
  67.75  67.75  67.75  67.75  67.75  67.75  67.75  67.75  67.75  67.75
  68.875 69.375 70.375 71.125 71.625 72.    72.125 72.625 73.    73.25
  73.375 73.5   73.5   73.5   73.5   73.5   73.5   73.5   73.5   73.5
  73.5   73.5   73.5   73.5   73.5   73.5   73.5   73.5   73.5   73.5
  73.5   73.5   73.5   73.5   73.5   73.5   73.375 72.75  71.75  71.125
  70.75  70.25  70.125 70.125 70.125 70.125 70.125 70.125 70.125 70.125
  70.125 70.125 70.125 70.125 70.125 70.125 70.125 70.125 70.125 70.125]]"
3,0.0,6.0,4.0,37.25,4.5,1.0,6.451017658007913,1.1527885999967111,12.0,[[ 3.31979501 71.55256051]],4.0,37.43617776040627,"[[72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875 72.875
  72.875 72.875 72.75  60.125 42.5   30.125 23.375 20.625 19.    18.625
  18.625 18.625 18.625 18.625 18.625 18.625 18.625 18.625 18.625 18.625
  19.    19.    20.25  23.    24.75  26.    26.875 27.25  27.875 29.375
  31.375 33.5   34.875 35.625 35.75  35.75  35.75  35.75  35.75  35.75
  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75
  35.75  35.75  35.75  35.75  35.75  35.75  35.875 35.875 35.875 35.875
  35.875 35.875 35.875 36.    36.125 36.25  36.25  36.25  36.25  36.25
  36.25  36.25  36.25  36.25  36.25  36.25  36.25  36.25  36.25  36.25
  36.25  36.25  36.25  36.25  36.25  36.25  36.25  36.25  36.375 36.375
  36.375 36.5   36.5   36.5   36.5   36.5   36.5   36.5   36.5   36.5
  36.5   36.5   36.5   36.5   36.5   36.5   36.5   36.5   36.625 36.625
  36.75  36.75  36.875 36.875 36.875 36.875 37.    37.125 37.125 37.125
  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25
  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25
  37.25  37.25  37.25  37.25  37.25  37.25  37.25 ]]"
4,0.0,6.0,5.0,38.0,7.75,1.0,1.4345531090075383,0.8851701300009154,10.0,[[18.89896318 29.51563214 59.36385368]],4.0,35.92614966540839,"[[73.625 73.625 73.625 73.625 73.625 73.625 73.625 73.625 73.625 73.625
  73.625 73.625 73.625 73.625 73.625 73.625 73.625 73.625 73.625 73.625
  73.625 73.625 73.625 73.375 72.875 72.5   72.25  71.75  70.25  67.25
  66.125 65.875 65.75  65.25  64.75  63.75  62.75  61.5   59.875 58.
  55.375 51.25  47.625 44.    41.    38.75  38.25  38.25  38.25  38.25
  38.25  38.25  38.25  38.25  38.25  38.25  38.25  38.25  38.25  38.25
  38.25  38.25  38.25  38.125 38.125 38.    38.    38.    38.    38.
  38.    38.    38.    38.    38.    38.    38.    38.    38.    38.
  38.    38.    38.    38.    38.    38.    38.   ]]"
5,0.0,6.0,6.0,44.75,9.0,1.0,2.1264919340028428,0.8019757500005653,10.0,[[ 1.51107246 26.66105069 37.6341536  42.52175972 48.37788218 91.96962344]],4.0,41.44592368288654,"[[78.75  78.75  78.75  78.75  78.75  78.75  78.75  78.75  78.75  78.75
  78.75  78.75  78.75  78.75  78.75  78.75  78.75  78.875 79.25  79.625
  79.625 79.75  79.875 79.875 79.875 80.    80.    80.    79.625 78.875
  77.875 76.5   74.5   71.875 67.375 62.625 59.375 57.25  55.875 55.
  54.875 54.75  54.75  54.75  54.75  54.75  54.75  54.75  54.75  54.75
  54.75  54.75  54.75  54.75  54.75  54.75  54.75  54.75  54.75  54.75
  54.75  54.75  54.625 54.25  53.75  53.5   53.125 53.125 53.125 53.
  52.875 52.25  51.625 51.5   51.5   51.375 51.375 51.375 51.375 51.375
  51.25  51.25  51.25  51.125 51.125 50.75  50.5   50.25  50.25  50.25
  50.25  50.25  50.25  50.25  50.125 50.125 49.625 49.25  49.125 49.125
  49.    48.875 48.5   48.25  48.125 48.125 48.    48.    48.    48.
  48.    47.75  47.375 46.875 46.5   46.25  46.25  46.25  46.    45.25
  44.875 44.875 44.75  44.75  44.75  44.75  44.75 ]]"
6,0.0,6.0,7.0,56.625,5.5,1.0,1.7090162630047416,0.7355830310116289,11.0,[[14.90931684 59.62479471 64.32482968 80.06072682]],5.0,54.72991701437773,"[[94.25  94.25  94.25  94.25  94.25  94.25  94.25  94.25  94.25  94.25
  94.25  94.25  94.25  94.25  94.25  94.25  94.25  94.25  94.25  94.25
  94.25  94.25  94.25  94.25  94.25  94.25  93.5   92.    89.625 86.625
  83.625 79.625 74.75  70.    67.125 66.125 65.75  65.625 65.625 65.5
  65.5   65.5   65.375 65.125 65.125 65.125 65.125 65.125 65.    64.5
  64.125 64.    63.75  63.625 63.375 63.    63.    63.    63.    62.875
  62.5   62.25  61.875 61.75  61.5   61.    59.875 58.    57.5   57.375
  57.375 57.375 57.375 57.375 57.375 57.375 57.375 57.375 57.375 57.375
  57.375 57.375 57.375 57.375 57.375 57.375 57.375 57.375 57.25  57.125
  56.875 56.75  56.75  56.625 56.625 56.625 56.625 56.625 56.625 56.625
  56.625 56.625 56.625]]"
7,0.0,6.0,8.0,37.25,12.0,1.0,1.1044039849948604,0.6059121169964783,8.0,[[ 0.87975137 28.0272295  35.89636171 39.8973244  54.99219899]],5.0,31.93857319358915,"[[ 9.875  9.875  9.875  9.875  9.875  9.875  9.875  9.875  9.875  9.875
   9.875  9.875  9.875  9.875  9.875  9.875  9.875  9.875  9.875  9.875
   9.875 10.    10.    11.375 12.625 14.    14.625 15.5   17.5   19.125
  20.625 21.75  22.875 23.625 24.125 24.375 24.875 25.625 27.25  29.875
  33.75  35.375 36.    36.25  36.25  36.25  36.375 36.375 36.625 37.
  37.375 37.375 37.375 37.375 37.375 37.375 37.375 37.375 37.375 37.375
  37.375 37.375 37.375 37.375 37.25  37.25  37.25 ]]"
8,0.0,6.0,9.0,36.5,7.5,1.0,2.1083888389985077,0.7055247270036489,10.0,[[ 5.78319999 14.95592961 25.69401901 33.70293328 49.20132775 81.47870395]],5.0,35.13601893235502,"[[37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25
  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25
  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25
  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25
  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25
  37.25  37.25  37.25  37.25  37.25  37.    36.625 36.375 36.125 35.875
  35.25  34.375 34.    33.75  33.375 32.875 32.75  32.75  32.75  32.75
  32.75  32.75  32.5   32.5   32.5   32.5   32.5   32.5   32.5   32.5
  32.5   32.5   32.5   32.5   32.5   32.5   33.    33.5   34.125 34.75
  36.25  38.875 40.875 41.75  42.    42.    42.    42.    42.    42.
  42.    42.    42.    42.    42.    42.    42.    41.5   41.    39.875
  38.875 38.125 37.25  37.    36.875 36.875 36.625 36.625 36.5   36.5
  36.5   36.5   36.5   36.5   36.5   36.5   36.5  ]]"
9,0.0,6.0,10.0,70.5,2.75,0.0,2.1037875689944485,0.9864510580082424,0.0,[[47.64780683 88.37772799]],4.0,68.01276740892771,"[[81.5   81.5   81.5   81.5   81.5   81.5   81.5   81.5   81.5   81.5
  81.5   81.5   81.5   81.5   81.5   81.5   82.    82.625 83.    83.25
  83.25  83.25  83.375 83.375 83.375 83.125 80.75  77.125 73.    69.
  66.625 65.875 65.875 65.75  65.75  65.75  65.75  65.75  65.75  65.75
  65.75  65.75  65.75  66.125 67.25  67.625 68.    68.125 68.25  68.625
  68.875 68.875 68.875 69.    69.375 69.375 69.375 69.375 69.375 69.375
  69.375 69.375 69.375 69.375 69.375 69.375 69.625 69.75  69.875 70.125
  70.25  70.375 70.625 70.625 70.625 70.625 70.625 70.625 70.625 70.625
  70.625 70.625 70.625 70.625 70.625 70.625 70.625 70.625 70.625 70.625
  70.625 70.625 70.625 70.625 70.625 70.625 70.625 70.625 70.625 70.625
  70.625 70.625 70.625 70.625 70.625 70.625 70.5   70.5   70.5   70.5
  70.5   70.5   70.5   70.5   70.5   70.5   70.5   70.5   70.5   70.5
  70.5   70.5   70.5   70.5   70.5   70.5   70.5  ]]"
