,Num_block,Block_ID,Trial_ID,Resp_loc,Resp_conf,Correct,RT_resp,RT_conf,Wager,x,N,x_mean,Mouse_track,X
0,0.0,1.0,1.0,61.5,20.75,1.0,4.696079833000113,1.4728995249997752,5.0,,5.0,63.78252754027121,"[[ 73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375
   73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375
   73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375
   73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375
   73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375
   73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375
   73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375
   73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375
   73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375
   73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375
   73.375  73.375  73.375  73.375  73.375  73.375  73.375  73.375  74.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.     97.25   36.5     0.      0.      0.      0.      0.
    0.      6.875  23.625  24.125  22.375  14.625  12.     12.     12.
   12.75   50.75  100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.     99.375  95.125  90.375  87.875
   87.375  87.375  87.375  87.     86.     85.5    85.5    85.5    85.5
   85.5    84.75   84.5    83.75   81.75   81.75   75.625  68.875  64.875
   63.75   63.625  63.375  61.75   61.5    61.5    61.5    61.5    61.5
   61.5    61.5    61.5    61.5    61.5    61.5    61.5    61.5    61.5
   61.5    61.5    61.5    61.5    61.5    61.5    61.5    61.5    61.5
   61.5    61.5    61.5    61.5    61.5    61.5    61.5    61.5    61.5
   61.5    61.5    61.5    61.5    61.5    61.5    61.5    61.5    61.5
   61.5    61.5    61.5    61.5    61.5    61.5    61.5  ]]",[[18.88701549 47.57166136 63.66288676 93.52690036 95.26417373]]
1,0.0,1.0,2.0,50.375,25.5,1.0,1.223945834999995,1.4233618799999022,4.0,,6.0,51.61039687660712,"[[ 1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625
   1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.25   0.375
   0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   2.25  10.75  20.5   28.25  36.75  44.125 49.625 51.25  52.125 52.875
  53.75  55.5   55.5   56.875 57.75  58.25  58.375 58.375 58.375 58.375
  58.375 58.375 58.375 58.25  58.    57.75  57.125 56.625 56.125 55.625
  55.375 55.    54.125 53.    52.125 51.    50.75  50.375 50.375 50.375
  50.375 50.375 50.375 50.375]]",[[10.66455464 20.67193347 44.82472755 69.20597194 80.83445921 83.46073444]]
2,0.0,1.0,3.0,65.0,18.0,1.0,0.8499756179999167,0.8690640660001918,6.0,,2.0,70.44430424599801,"[[47.5   47.5   47.5   47.5   47.5   47.5   47.5   47.5   47.5   47.5
  47.5   47.5   47.5   47.5   47.5   47.5   47.5   47.5   47.5   47.5
  47.625 47.75  48.125 48.125 48.25  48.25  48.375 48.75  49.625 50.
  50.125 50.25  51.25  52.625 54.25  55.5   56.75  57.625 58.25  58.5
  58.5   58.5   59.125 60.125 62.25  64.125 64.875 65.    65.    65.
  65.    65.   ]]",[[47.05694709 93.8316614 ]]
3,0.0,1.0,4.0,37.375,55.5,1.0,0.7549048229998334,0.9043722269998398,1.0,,5.0,32.13426107191398,"[[90.625 90.625 90.625 90.625 90.625 90.625 90.625 90.625 90.625 90.625
  90.625 90.625 90.625 90.625 90.625 90.625 90.625 90.625 90.625 90.625
  90.25  87.125 83.125 77.75  71.5   64.75  61.125 59.375 58.25  56.75
  54.375 51.5   48.875 46.75  43.375 40.375 38.    37.625 37.5   37.5
  37.5   37.5   37.375 37.375 37.375 37.375]]",[[ 7.84101851  8.01937717 23.1512385  38.90667313 82.75299805]]
4,0.0,1.0,5.0,45.75,23.5,1.0,0.5697634470002413,1.6199093179998272,5.0,,3.0,38.2908850304807,"[[ 6.125  6.125  6.125  6.125  6.125  6.125  6.125  6.125  6.125  6.125
   6.125  6.125  6.125  6.125  6.125  6.125  6.125  6.375 11.625 19.
  28.125 34.875 38.    39.125 39.375 39.625 40.375 41.25  42.375 43.5
  45.125 45.75  45.75  45.75  45.75 ]]",[[ 4.78144147 43.17667861 66.91453502]]
5,0.0,1.0,6.0,65.0,47.25,1.0,0.6361928789997364,1.1548528369999076,1.0,,3.0,57.66494806762844,"[[20.75  20.75  20.75  20.75  20.75  20.75  20.75  20.75  20.75  20.75
  20.75  20.75  20.75  20.75  20.75  20.75  20.75  20.75  21.375 23.
  25.75  30.25  37.    46.125 55.75  62.25  64.5   64.5   64.5   64.5
  64.5   64.5   64.5   64.5   64.875 65.    65.    65.    65.   ]]",[[30.69114726 44.15232188 98.15137506]]
6,0.0,1.0,7.0,41.125,27.75,1.0,1.1479714880001666,1.7022847870002806,4.0,,2.0,35.7035383039684,"[[73.    73.    73.    73.    73.    73.    73.    73.    73.    73.
  73.    73.    73.    73.    73.    73.    71.875 71.25  70.875 70.5
  69.875 68.875 67.25  65.25  63.125 59.5   55.5   52.625 52.25  52.25
  52.125 52.    51.625 50.75  49.25  47.125 42.375 32.75  27.25  26.5
  26.5   26.5   26.5   26.5   26.5   26.5   26.375 26.375 26.5   26.75
  27.125 28.    30.    32.375 33.375 34.125 34.625 34.75  35.    35.125
  35.75  37.5   38.375 38.75  39.75  40.625 41.    41.125 41.125]]",[[ 0.37091017 71.03616644]]
7,0.0,1.0,8.0,19.0,7.25,1.0,0.9890877600000749,2.676238732999991,10.0,,5.0,18.201108777154115,"[[47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375
  47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.25
  47.    46.125 44.75  42.    39.375 39.375 37.125 34.125 30.25  25.375
  22.625 22.    22.    22.    22.    22.    22.    22.    22.    22.
  21.875 20.875 19.625 19.    19.    19.    19.    19.    19.    19.
  19.    19.    19.    19.    19.    19.    19.    19.    19.    19.   ]]",[[ 1.11005389  7.89052164 13.84712156 30.67002434 37.48782245]]
8,0.0,1.0,9.0,61.75,6.5,0.0,0.8038876149998941,1.4030367570003364,0.0,,4.0,52.82330888016466,"[[26.375 26.375 26.375 26.375 26.375 26.375 26.375 26.375 26.375 26.375
  26.375 26.375 26.375 26.375 26.375 26.375 27.125 29.625 33.125 35.625
  38.625 41.5   43.875 45.25  46.875 46.875 50.125 55.125 61.    64.
  64.875 64.875 64.875 64.875 64.875 64.875 64.75  63.375 62.5   61.875
  61.75  61.75  61.75  61.75  61.75  61.75  61.75  61.75  61.75 ]]",[[18.27729289 28.67286518 74.40102434 89.94205311]]
9,0.0,1.0,10.0,19.125,4.0,1.0,1.189718952000021,1.5692995649997101,12.0,,4.0,19.937691830896686,"[[88.75  88.75  88.75  88.75  88.75  88.75  88.75  88.75  88.75  88.75
  88.75  88.75  88.75  88.75  88.75  88.75  88.75  88.75  88.125 86.625
  83.375 74.875 61.5   43.5   26.5   12.625  5.25   1.125  0.     0.
   0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   0.75   2.     2.     2.75   4.125  7.5   12.375 14.75  15.25  15.375
  15.5   15.625 15.625 15.625 15.625 15.625 15.625 15.75  16.375 17.125
  17.375 17.625 17.75  17.75  18.5   18.875 19.125 19.125 19.125 19.125
  19.125 19.125]]",[[ 0.94815647 14.22748616 25.35753378 39.21759092]]
