,Num_block,Block_ID,Trial_ID,Resp_loc,Resp_conf,Correct,RT_resp,RT_conf,Wager,X,N,x_mean,Mouse_track
0,0.0,7.0,1.0,42.5,12.5,1.0,5.773371627001325,1.203489282001101,8.0,[[ 6.34243878 48.09700731 51.55629157 64.63710849]],6.0,42.65821153739566,"[[ 35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375
   35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375
   35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375
   35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375
   35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375
   35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375
   35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375
   35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375
   35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375
   35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375  35.375
   35.375  35.375  36.625  61.     87.5    91.375  91.5    92.875  93.
   93.     93.     93.     93.     93.     93.     93.     93.     93.
   93.     93.     93.     93.     93.     93.     93.     93.     93.
   93.     93.     93.     93.     93.     93.     93.     93.     93.
   93.     93.     93.     93.     93.     93.     93.     93.     93.
   93.     93.     93.     93.     93.     93.     93.     93.     93.
   93.     93.     93.     93.     93.     93.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.     95.75   95.     95.     95.     94.625  92.5    86.     86.
   80.875  80.875  80.875  80.875  80.875  80.875  80.875  80.875  80.875
   80.875  80.875  80.875  80.875  80.875  80.875  80.875  80.875  80.875
   80.625  80.375  80.     79.625  79.     78.375  75.375  68.875  61.
   54.5    49.5    46.125  45.25   45.     44.625  43.75   43.75   43.75
   43.5    41.     37.625  35.375  34.625  34.5    34.5    34.5    34.5
   34.5    34.5    35.5    36.25   36.5    36.5    36.75   37.875  38.75
   39.25   39.375  39.625  40.125  41.375  41.75   42.     42.     42.
   42.25   42.75   42.875  42.875  42.875  42.875  42.875  42.875  42.875
   42.875  42.875  42.875  42.875  42.875  42.875  42.875  42.875  42.875
   42.875  42.875  42.75   42.5    42.5    42.5    42.5    42.5    42.5
   42.5    42.5    42.5    42.5    42.5    42.5    42.5    42.5    42.5
   42.5    42.5    42.5    42.5    42.5    42.5    42.5    42.5    42.5
   42.5  ]]"
1,0.0,7.0,2.0,52.625,13.75,1.0,4.1473026189996745,0.8162771479983348,8.0,[[ 7.20812638  8.58307585 41.95971913 64.73422478 86.50720235 92.76929599]],4.0,50.293607412302116,"[[64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5
  64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5
  64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5
  64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5
  64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5
  64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5
  64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5
  64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.5   64.625 64.625
  64.25  64.125 63.875 63.625 63.625 63.5   63.25  63.25  63.125 62.625
  62.125 61.375 61.375 61.375 61.375 61.375 61.25  61.125 61.125 61.
  60.875 60.5   60.375 60.25  60.25  60.25  60.25  60.25  60.25  60.25
  60.25  60.25  60.25  60.25  60.25  60.25  60.25  60.125 60.125 60.
  60.    60.    60.    60.    60.    60.    60.    60.    60.    59.875
  59.625 59.5   59.375 59.25  59.125 59.    58.75  58.375 58.25  58.
  58.    58.    58.    58.    58.    58.    58.    58.    58.    58.
  58.    58.    58.    58.    58.    58.    58.    58.    58.    58.
  58.    58.    58.    58.    58.    58.    58.    58.    58.    58.
  58.    58.    58.    58.    58.    58.    58.    58.    58.    58.
  58.    58.    58.    58.    58.    58.    58.    58.    58.    58.
  58.    58.    58.    58.    58.    58.    58.    58.    58.    58.
  58.    58.    58.    58.    58.    58.    58.    58.    58.    58.
  58.    58.    58.    58.    58.    58.    58.    58.    57.375 56.625
  56.125 56.125 56.125 56.    55.875 55.75  55.375 55.375 54.875 53.875
  53.75  53.75  53.75  53.75  53.75  53.625 53.5   53.5   53.5   53.5
  53.5   53.25  52.875 52.875 52.75  52.625 52.625 52.625 52.625]]"
2,0.0,7.0,3.0,21.875,10.25,1.0,2.507097714998963,0.7032036939999671,9.0,[[ 7.57798542 12.00791127 14.80348046 18.60834521 32.45585    58.56012535]],5.0,24.00228294835898,"[[38.5   38.5   38.5   38.5   38.5   38.5   38.5   38.5   38.5   38.5
  38.5   38.5   38.5   38.5   38.5   38.5   38.5   38.5   38.375 38.125
  37.875 37.75  37.5   37.5   37.    36.375 35.875 35.25  34.75  34.25
  33.5   32.5   31.375 31.25  31.    30.875 30.75  30.625 30.625 30.625
  30.625 30.625 30.625 30.625 30.625 30.625 30.625 30.625 30.625 30.625
  30.625 30.625 30.625 30.625 30.625 30.625 30.625 30.75  31.    31.25
  31.75  31.875 31.875 31.875 31.875 31.875 32.    32.125 32.375 32.5
  32.5   32.5   32.5   32.5   32.5   32.5   32.5   32.5   32.5   32.5
  32.5   32.5   32.5   32.5   32.5   32.5   32.5   32.5   32.5   32.5
  32.5   32.5   32.5   32.5   32.5   32.5   32.5   32.5   32.5   32.5
  32.5   32.5   32.5   32.5   32.5   32.375 32.25  32.125 32.    31.875
  31.5   30.875 30.375 30.    29.    27.75  26.125 26.125 24.5   23.5
  23.    22.625 22.5   22.5   22.375 22.125 21.875 21.875 21.875 21.875
  21.875 21.875 21.875 21.875 21.875 21.875 21.875 21.875 21.875 21.875
  21.875 21.875 21.875 21.875 21.875 21.875 21.875 21.875 21.875 21.875
  21.875]]"
3,0.0,7.0,4.0,18.25,8.5,1.0,1.4714959119992272,0.5520246550004231,10.0,[[ 6.89723081 11.90620405 12.69222113 20.4905234  28.95485926 29.96179037]],2.0,18.483804835468643,"[[94.125 94.125 94.125 94.125 94.125 94.125 94.125 94.125 94.125 94.125
  94.125 94.125 94.125 94.125 94.125 94.125 94.125 94.125 94.125 94.125
  94.125 94.125 94.125 93.75  93.125 91.375 89.625 86.75  82.125 77.75
  70.125 60.5   53.625 48.75  46.375 44.75  43.75  43.75  43.375 43.
  42.5   41.625 40.5   39.25  38.75  38.25  37.5   36.25  33.875 31.25
  28.75  26.375 24.75  23.75  22.875 22.125 21.5   21.375 20.875 20.75
  20.625 20.625 20.375 20.25  20.25  20.125 20.    20.    20.    20.
  20.    20.    20.    20.    19.75  19.375 19.    18.375 18.25  18.25
  18.25  18.25  18.25  18.25  18.25  18.25  18.25  18.25  18.25 ]]"
4,0.0,7.0,5.0,57.75,9.25,1.0,2.234181448999152,0.45289472000149544,9.0,[[16.43173654 48.77832665 53.76437334 62.21371747 68.89685024 82.80672774]],4.0,55.48195533044221,"[[45.5   45.5   45.5   45.5   45.5   45.5   45.5   45.5   45.5   45.5
  45.5   45.5   45.5   45.5   45.5   45.5   45.5   45.5   45.5   45.5
  45.5   45.5   45.5   45.5   45.5   45.5   45.5   45.5   45.625 46.375
  47.375 48.5   50.75  54.125 57.25  58.25  58.5   58.5   58.5   58.5
  58.5   58.5   58.5   58.5   58.375 58.25  58.    57.625 57.25  57.
  56.25  55.625 54.875 54.5   54.375 54.375 54.375 54.375 54.375 54.375
  54.375 54.375 54.375 54.375 54.375 54.375 54.375 54.375 54.375 54.375
  54.375 54.375 54.375 54.375 54.375 54.375 54.375 54.375 54.375 54.5
  54.75  55.25  55.5   55.625 55.625 55.625 55.625 55.625 55.625 55.75
  56.    56.    56.    56.    56.    56.    56.    56.    56.125 56.125
  56.125 56.125 56.5   56.5   57.    57.625 57.75  57.75  57.75  57.75
  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75
  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75
  57.75  57.75  57.75  57.75 ]]"
5,0.0,7.0,6.0,19.75,1.0,1.0,1.5015988930026651,0.5375337010009389,14.0,[[17.10087064 22.44826181]],3.0,19.77456622364376,"[[95.5   95.5   95.5   95.5   95.5   95.5   95.5   95.5   95.5   95.5
  95.5   95.5   95.5   95.5   95.5   95.5   95.5   95.5   93.625 88.125
  79.    62.    44.125 44.125 34.25  30.5   29.875 29.25  28.75  27.25
  25.    21.375 18.375 15.375 14.875 14.875 14.875 14.875 14.875 14.875
  14.875 14.875 14.875 14.875 14.875 14.875 14.875 15.375 16.75  17.875
  18.875 19.25  19.375 19.375 19.375 19.375 19.5   20.125 20.375 20.625
  20.625 20.625 20.625 20.625 20.625 20.625 20.625 20.625 20.5   20.5
  20.375 20.25  20.25  20.    19.875 19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75 ]]"
6,0.0,7.0,7.0,75.625,9.0,1.0,1.7045706080025411,0.7029275210006745,10.0,[[41.40475095 74.17289749 79.55115569 89.72850984 93.6975873 ]],3.0,75.71098025516852,"[[22.625 22.625 22.625 22.625 22.625 22.625 22.625 22.625 22.625 22.625
  22.625 22.625 22.625 22.625 22.625 22.625 22.625 22.625 22.75  25.5
  32.375 39.625 49.375 57.75  64.125 68.125 69.25  69.25  69.625 70.
  70.    70.    70.    70.    70.    70.    70.    70.    70.125 70.25
  70.375 70.375 70.375 70.375 70.75  71.25  71.5   71.625 71.75  71.75
  72.    72.    72.    72.    72.    72.    72.    72.25  72.375 72.75
  72.875 73.    73.25  73.75  73.875 73.875 74.    74.125 74.375 74.5
  74.5   74.75  74.875 75.    75.125 75.125 75.125 75.25  75.375 75.375
  75.5   75.5   75.625 75.625 75.625 75.625 75.625 75.625 75.625 75.625
  75.625 75.625 75.625 75.625 75.625 75.625 75.625 75.625 75.625 75.625
  75.625 75.625 75.625]]"
7,0.0,7.0,8.0,26.0,29.5,1.0,3.3079016390001925,1.0544437200005632,3.0,[[11.55399907 12.11844798 26.38074944 77.2474405 ]],5.0,31.8251592485123,"[[31.    31.    31.    31.    31.    31.    31.    31.    31.    31.
  31.    31.    31.    31.    31.    31.    31.    31.    31.    31.
  31.    31.    30.375 29.625 29.125 28.75  28.5   28.375 28.375 28.375
  28.375 28.375 28.375 28.375 28.375 28.375 28.375 28.375 28.375 28.375
  28.375 28.375 28.375 28.375 28.375 28.375 28.125 28.    27.75  27.625
  27.625 27.5   27.5   27.5   27.5   27.375 27.375 27.125 26.875 26.875
  26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875
  26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875
  26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875
  26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875
  26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875
  26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875
  26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875
  26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875 26.875
  26.875 26.875 26.875 26.5   25.875 25.25  25.    24.75  24.75  24.75
  24.625 24.625 24.5   24.375 24.375 24.375 24.375 24.375 24.375 24.375
  24.375 24.375 24.375 24.375 24.375 24.375 24.5   24.625 24.75  25.
  25.    25.    25.125 25.125 25.125 25.375 25.625 25.875 26.    26.
  26.    26.    26.    26.    26.    26.    26.    26.    26.    26.
  26.    26.    26.    26.    26.    26.    26.    26.    26.   ]]"
8,0.0,7.0,9.0,53.0,9.75,0.0,1.5040221489980468,0.5361948470017524,0.0,[[34.50442492 43.34459113 48.04280694 78.22015501 78.23206572 80.68572817]],6.0,60.50496198217058,"[[84.5   84.5   84.5   84.5   84.5   84.5   84.5   84.5   84.5   84.5
  84.5   84.5   84.5   84.5   84.5   84.5   84.5   84.5   84.5   84.5
  84.5   84.5   84.5   84.5   84.5   84.5   84.125 83.625 83.125 81.875
  79.875 77.25  75.125 73.25  72.    70.625 70.125 70.125 70.    69.875
  68.625 67.25  66.    65.25  64.75  63.625 63.    62.375 62.125 61.625
  61.125 60.625 60.25  59.75  59.25  58.125 57.125 55.    52.875 51.5
  51.    51.    50.875 50.875 50.875 50.875 50.875 50.875 50.875 50.875
  50.875 50.875 50.875 50.875 51.    51.5   51.875 52.125 52.5   52.5
  52.75  52.875 52.875 52.875 52.875 52.875 53.    53.    53.    53.
  53.   ]]"
9,0.0,7.0,10.0,55.0,11.5,1.0,2.0201696719996107,0.5192838570001186,8.0,[[ 4.63649662 78.47671682 88.34689919]],4.0,57.15337087715559,"[[57.    57.    57.    57.    57.    57.    57.    57.    57.    57.
  57.    57.    57.    57.    57.    57.    57.    57.    57.    57.
  57.    57.    57.    57.    57.    57.    57.    57.    57.    57.
  57.    57.    57.    57.    57.    57.    57.    57.    57.    57.
  57.125 57.625 59.125 59.875 60.375 60.375 60.375 60.5   60.5   60.5
  60.5   60.625 60.875 61.125 61.375 61.375 61.375 61.375 61.375 61.5
  61.625 61.625 61.625 61.625 61.625 61.625 61.75  61.875 62.    62.5
  62.625 62.75  62.875 63.125 63.125 63.25  63.25  63.375 63.375 63.375
  63.375 63.375 63.375 63.375 63.375 63.25  62.75  62.375 61.625 59.75
  57.125 54.75  54.25  54.125 54.125 54.125 54.125 54.125 54.125 54.125
  54.125 54.125 54.125 54.125 54.125 54.125 54.125 54.25  54.375 54.625
  54.625 54.625 54.625 54.75  54.875 54.875 55.    55.    55.    55.
  55.    55.   ]]"
