,Num_block,Block_ID,Trial_ID,Resp_loc,Resp_conf,Correct,RT_resp,RT_conf,Wager,X,N,x_mean,Mouse_track
0,0.0,2.0,1.0,54.5,28.25,1.0,4.555899124999996,4.192458691999491,4.0,[[27.99753588 93.30959498]],2.0,60.65356543374442,"[[24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5
  24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5
  24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5
  24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5
  24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5
  24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5
  24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5
  24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5
  24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.5   24.625 27.25
  36.125 49.375 61.25  65.    65.5   65.5   65.5   65.5   65.5   65.5
  65.5   65.5   65.5   65.5   65.5   65.5   65.5   65.5   65.5   65.5
  65.5   65.5   65.5   65.5   65.5   65.5   65.5   65.5   65.5   65.5
  65.5   65.5   65.    64.75  64.25  63.875 63.125 61.75  58.375 54.5
  51.    48.875 47.75  47.5   47.375 47.375 47.375 47.375 47.375 47.375
  47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.875 49.125 50.5
  52.    52.625 53.625 54.25  54.5   54.5   54.5   54.25  53.125 52.375
  50.375 49.375 47.5   46.5   46.    45.875 45.875 45.875 45.875 45.875
  45.875 45.875 45.875 45.875 45.875 46.    46.125 46.875 47.375 48.375
  49.25  49.625 50.    50.25  50.375 50.375 50.375 50.375 50.375 50.375
  50.375 50.375 50.375 50.375 50.375 50.375 50.375 50.375 50.375 50.375
  50.375 50.375 50.375 50.375 50.375 50.375 50.375 50.375 50.375 50.625
  52.375 54.375 56.375 57.125 57.25  57.25  57.25  57.25  57.25  57.25
  57.25  57.25  57.25  57.25  57.25  57.25  57.125 56.25  55.25  54.125
  53.375 52.75  52.375 52.125 52.    52.    52.    52.    52.    52.
  52.    52.    52.    52.    52.    52.    52.    52.    52.    52.
  52.    52.    52.125 52.25  52.25  52.25  52.25  52.375 52.5   52.875
  53.25  53.75  54.375 54.5   54.5   54.5   54.5   54.5   54.5   54.5
  54.5   54.5   54.5  ]]"
1,0.0,2.0,2.0,30.75,43.75,1.0,2.524803096996038,1.9907144099997822,2.0,[[ 1.50547444  3.72841867 10.49568826 77.29615746]],4.0,23.25643470986661,"[[43.5   43.5   43.5   43.5   43.5   43.5   43.5   43.5   43.5   43.5
  43.5   43.5   43.5   43.5   43.5   43.5   44.375 46.125 47.5   48.
  48.    48.    48.    48.    48.125 48.125 48.125 48.125 48.25  48.25
  48.25  48.375 48.375 48.375 48.375 47.875 46.25  43.375 39.625 36.125
  34.125 30.875 28.    25.375 22.75  19.375 16.125 14.5   13.875 13.875
  13.75  13.75  13.75  13.75  13.75  13.75  13.75  13.75  13.875 16.5
  20.625 23.625 24.25  24.375 24.375 24.375 24.375 24.75  26.625 29.5
  32.875 35.75  38.375 39.25  39.25  39.25  39.375 39.375 39.375 39.375
  39.25  38.75  38.625 38.375 38.    37.75  37.625 37.5   37.375 37.25
  37.25  37.125 37.125 37.125 37.    36.625 36.625 36.5   36.375 36.
  35.75  34.75  34.125 34.    34.    34.    34.    34.    34.    33.875
  33.75  33.75  33.75  33.5   33.375 33.    32.25  32.125 32.    32.
  31.75  31.125 31.    30.75  30.75  30.75  30.75  30.75  30.75  30.75
  30.75  30.75  30.75  30.75  30.75  30.75  30.75  30.75  30.75  30.75
  30.75  30.75  30.75  30.75  30.75  30.75  30.75  30.75  30.75  30.75
  30.75  30.75 ]]"
2,0.0,2.0,3.0,20.875,18.5,1.0,1.5708165350006311,1.5042720810015453,6.0,[[ 6.30622518 12.92814855 17.42865225 25.42736024 39.68985767]],5.0,20.356048778920847,"[[24.875 24.875 24.875 24.875 24.875 24.875 24.875 24.875 24.875 24.875
  24.875 24.875 24.875 24.875 24.875 24.875 24.875 24.875 24.875 24.875
  24.875 24.875 24.875 24.875 24.875 24.875 24.875 24.875 24.875 24.875
  24.875 24.875 24.875 24.875 24.875 24.875 24.875 24.875 24.75  23.125
  22.    21.75  21.75  21.625 21.5   21.375 21.375 21.375 21.375 21.375
  21.375 21.375 21.375 21.375 21.375 21.375 21.375 21.375 21.375 21.375
  21.375 21.375 21.375 21.375 21.375 21.375 21.375 21.375 21.375 21.375
  21.375 21.375 21.375 21.375 21.375 21.375 21.375 21.375 21.375 21.25
  21.25  21.25  21.125 21.125 20.875 20.875 20.875 20.875 20.875 20.875
  20.875 20.875 20.875 20.875 20.875]]"
3,0.0,2.0,4.0,31.375,43.5,1.0,1.6213761899998644,1.0511631690023933,2.0,[[ 5.92903141 25.79857484 68.86262425]],3.0,33.53007683478243,"[[16.75  16.75  16.75  16.75  16.75  16.75  16.75  16.75  16.75  16.75
  16.75  16.75  16.75  16.75  16.75  16.75  16.75  16.75  16.75  16.75
  16.75  16.75  16.75  16.75  16.75  16.75  16.75  16.75  16.75  16.75
  17.    18.5   20.    23.    25.875 25.875 27.875 28.25  28.375 28.375
  28.375 28.375 28.375 28.375 28.375 28.375 28.375 28.5   28.5   28.625
  29.125 29.5   30.375 30.75  30.75  30.75  30.75  30.75  30.75  30.75
  30.75  30.75  30.75  30.875 31.125 31.25  31.375 31.625 32.875 33.5
  33.5   33.5   33.5   33.5   33.5   33.5   33.5   33.5   33.5   33.5
  33.5   33.5   33.375 32.375 31.875 31.5   31.5   31.375 31.375 31.375
  31.375 31.375 31.375 31.375 31.375 31.375 31.375 31.375]]"
4,0.0,2.0,5.0,40.625,38.25,1.0,1.7712650739995297,1.187941428994236,2.0,[[11.26757466 20.34575135 40.54311752 92.4177597 ]],4.0,41.14355080593013,"[[74.375 74.375 74.375 74.375 74.375 74.375 74.375 74.375 74.375 74.375
  74.375 74.375 74.375 74.375 74.375 74.375 74.375 74.375 74.375 74.375
  74.375 74.375 74.375 74.375 74.375 74.375 74.375 73.625 66.625 61.25
  57.625 54.625 53.25  52.125 52.    51.875 51.875 51.875 51.875 51.875
  51.875 51.875 51.875 51.875 51.875 51.875 51.75  50.125 46.75  42.375
  42.375 39.75  37.625 37.375 37.375 37.375 37.375 37.375 37.375 37.375
  37.375 37.375 37.375 38.25  39.375 40.    40.125 40.125 40.25  40.25
  40.25  40.25  40.25  40.25  40.25  40.25  40.25  40.25  40.25  40.25
  40.25  40.25  40.25  40.25  40.25  40.25  40.25  40.25  40.375 40.5
  40.5   40.5   40.625 40.625 40.625 40.625 40.625 40.625 40.625 40.625
  40.625 40.625 40.625 40.625 40.625 40.625 40.625]]"
5,0.0,2.0,6.0,53.375,30.0,1.0,1.7733260409950162,1.4715973470010795,3.0,[[21.1049611  33.70796556 42.82747953 56.7075218  71.62908547 94.42399842]],6.0,53.40016864836169,"[[ 1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625
   1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625
   1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625
   1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625  1.625
   1.5   12.875 35.375 50.75  58.25  61.125 61.5   61.5   61.125 60.75
  60.25  60.    59.875 59.875 59.875 59.875 59.875 59.875 59.875 59.875
  59.875 59.875 59.875 59.625 58.25  57.125 56.125 55.625 55.5   55.375
  55.375 55.25  55.    54.875 54.625 54.5   54.375 54.375 54.25  54.25
  54.125 54.125 54.    53.625 53.375 53.375 53.375 53.375 53.375 53.375
  53.375 53.375 53.375 53.375 53.375 53.375 53.375 53.375 53.375 53.375
  53.375 53.375 53.375 53.375 53.375 53.375 53.375]]"
6,0.0,2.0,7.0,47.375,21.5,1.0,1.6898277180007426,1.3861817869983497,5.0,[[16.0827549  38.61381714 78.35612597]],3.0,44.35089933486236,"[[70.75  70.75  70.75  70.75  70.75  70.75  70.75  70.75  70.75  70.75
  70.75  70.75  70.75  70.75  70.75  70.75  70.75  70.75  70.75  70.75
  70.75  70.75  70.5   68.5   67.625 67.125 67.    66.625 65.875 65.125
  64.75  64.    63.25  62.75  62.625 62.5   62.25  62.125 61.875 61.125
  60.125 59.75  59.75  59.375 58.5   57.5   56.125 55.25  54.625 54.125
  53.875 53.875 53.75  53.75  53.625 53.625 53.625 53.625 53.625 53.5
  53.375 53.25  53.125 53.    53.    52.75  52.125 51.875 51.75  50.75
  49.5   49.125 49.125 49.125 49.125 49.125 49.125 48.875 48.75  48.75
  48.75  48.625 48.5   48.5   48.5   48.375 48.125 47.875 47.625 47.5
  47.5   47.5   47.5   47.5   47.5   47.5   47.5   47.5   47.5   47.5
  47.5   47.375]]"
7,0.0,2.0,8.0,41.375,29.75,1.0,1.4894127090010443,1.287383923001471,3.0,[[ 7.36299877 13.05748807 24.73415952 53.80089325 58.40251021 81.14172551]],6.0,39.74996255371884,"[[32.    32.    32.    32.    32.    32.    32.    32.    32.    32.
  32.    32.    32.    32.    32.    32.    32.    31.75  31.375 31.125
  30.875 30.625 30.125 30.    30.    30.    30.    30.    30.    30.
  29.875 29.875 30.375 33.375 36.25  37.625 38.875 39.    39.    39.
  39.    39.    39.    39.125 39.125 39.125 39.125 39.125 39.125 39.125
  39.125 39.125 39.125 39.125 39.125 39.375 39.5   39.625 39.875 40.
  40.25  40.375 40.375 40.375 40.375 40.375 40.375 40.375 40.375 40.5
  40.5   40.875 41.25  41.375 41.375 41.375 41.375 41.375 41.375 41.375
  41.375 41.375 41.375 41.375 41.375 41.375 41.375 41.375 41.375 41.375]]"
8,0.0,2.0,9.0,38.5,14.5,1.0,1.1172070750035346,1.1539864740043413,7.0,[[26.43344953 29.23161574 51.26233665]],3.0,35.64246730978335,"[[42.75  42.75  42.75  42.75  42.75  42.75  42.75  42.75  42.75  42.75
  42.75  42.75  42.75  42.75  42.75  42.75  42.75  42.5   42.375 42.375
  42.25  42.125 41.875 41.5   41.25  41.25  41.25  41.25  41.25  41.25
  41.125 41.    40.875 40.75  40.75  40.375 40.375 40.375 40.25  40.125
  40.125 40.    40.    40.    40.    40.    39.875 39.625 39.125 38.75
  38.625 38.625 38.625 38.625 38.625 38.625 38.625 38.625 38.5   38.5
  38.5   38.5   38.5   38.5   38.5   38.5   38.5   38.5  ]]"
9,0.0,2.0,10.0,31.25,23.0,1.0,1.2917100280028535,1.1981964639999205,5.0,[[ 3.37031167 14.18615866 40.8363271  47.27010737 54.31517476 59.63500478]],6.0,36.60218072336367,"[[77.5   77.5   77.5   77.5   77.5   77.5   77.5   77.5   77.5   77.5
  77.5   77.5   77.5   77.5   77.5   77.5   77.5   77.5   77.5   77.5
  77.5   77.5   77.5   77.5   77.5   77.5   77.5   77.5   77.5   77.5
  77.5   77.5   77.5   77.5   77.5   77.5   77.5   77.5   77.5   77.5
  74.5   62.    52.375 45.5   41.375 40.    39.625 39.5   39.25  39.
  38.5   37.75  36.875 35.375 33.875 32.125 31.5   31.375 31.25  31.25
  31.25  31.25  31.25  31.25  31.25  31.25  31.25  31.25  31.25  31.25
  31.25  31.25  31.25  31.25  31.25  31.25  31.25  31.25 ]]"
10,0.0,2.0,11.0,55.25,14.5,1.0,1.2864106569977594,0.8340918240064639,7.0,[[47.03330048 64.53425792]],2.0,55.78377919813536,"[[76.625 76.625 76.625 76.625 76.625 76.625 76.625 76.625 76.625 76.625
  76.625 76.625 76.625 76.625 76.625 76.625 76.625 76.625 76.625 76.625
  76.625 76.625 76.625 76.625 75.375 71.625 69.25  68.    66.875 66.125
  65.75  65.5   65.375 64.875 64.    62.    60.75  59.5   59.    58.875
  58.875 58.875 58.875 58.875 58.875 58.875 58.875 58.875 58.875 58.875
  58.875 58.875 58.875 58.875 58.875 58.875 58.625 58.375 58.    57.75
  57.5   57.25  57.    56.75  55.75  55.375 55.375 55.25  55.25  55.25
  55.25  55.25  55.25  55.25  55.25  55.25  55.25  55.25 ]]"
11,0.0,2.0,12.0,42.875,19.25,1.0,1.9227082079960383,1.3695031639945228,6.0,[[19.14313592 53.40812328 56.37575213 61.15498889]],4.0,47.52050005626876,"[[45.625 45.625 45.625 45.625 45.625 45.625 45.625 45.625 45.625 45.625
  45.625 45.625 45.625 45.625 45.625 45.625 45.625 45.625 45.625 45.5
  45.375 45.125 44.75  44.25  44.    43.625 43.375 43.25  42.875 42.75
  42.375 42.375 42.375 42.    41.75  41.625 41.625 41.5   41.5   41.5
  41.125 41.    41.    41.    41.    41.    41.    41.    41.    41.
  41.    41.    41.    41.    41.    41.    41.    41.    41.    41.
  41.    41.    41.    41.    41.    41.    41.    41.    41.    41.
  41.    41.    41.    41.    41.    41.    41.    41.    41.    41.
  41.    41.    41.    41.    40.75  40.875 41.125 41.625 42.    42.125
  42.5   42.5   42.5   42.75  42.875 42.875 42.875 42.875 42.875 42.875
  42.875 42.875 42.875 42.875 42.875 42.875 42.875 42.875 42.875 42.875
  42.875 42.875 42.875 42.875 42.875 42.875]]"
12,0.0,2.0,13.0,46.125,15.25,1.0,1.9396082750026835,1.4381915780031704,7.0,[[ 4.28895053 28.257745   77.93718337 99.77269156]],4.0,52.564142615455864,"[[29.125 29.125 29.125 29.125 29.125 29.125 29.125 29.125 29.125 29.125
  29.125 29.125 29.125 29.125 29.125 29.125 29.125 29.125 29.125 29.125
  29.125 29.125 29.125 29.125 29.125 29.125 29.125 29.125 29.25  31.25
  33.875 36.25  36.875 37.    37.125 37.25  37.25  37.5   38.125 39.875
  42.875 47.375 50.125 51.125 51.125 51.125 51.125 51.125 51.125 51.125
  51.125 51.125 51.125 51.25  51.375 51.375 51.375 51.375 51.375 51.375
  51.375 51.375 51.375 51.375 51.375 51.375 51.375 51.375 51.375 50.75
  50.25  50.    49.5   49.25  49.25  49.25  49.25  49.25  49.25  49.25
  49.25  49.25  49.25  49.25  49.25  49.25  49.25  49.25  49.25  49.25
  49.    48.875 48.625 48.5   48.375 48.25  48.125 48.    47.875 47.625
  47.5   47.25  46.625 46.375 46.25  46.25  46.125 46.125 46.125 46.125
  46.125 46.125 46.125 46.125 46.125 46.125 46.125]]"
