,Num_block,Block_ID,Trial_ID,Resp_loc,Resp_conf,Correct,RT_resp,RT_conf,Wager,X,N,x_mean,Mouse_track
0,1.0,8.0,1.0,44.0,12.0,1.0,3.59389719000319,0.571445665002102,8.0,[[ 7.7975869  13.08985587 34.82942091 44.4700557  97.44176383]],5.0,39.52573664312572,"[[43.875 43.875 43.875 43.875 43.875 43.875 43.875 43.875 43.875 43.875
  43.875 43.875 43.875 43.875 43.875 43.875 43.875 43.875 43.875 43.875
  43.875 43.875 43.875 43.875 43.875 47.125 47.125 47.125 47.125 47.125
  47.125 47.125 48.5   48.875 51.125 54.75  54.875 54.875 54.875 54.125
  46.875 45.75  45.75  45.75  45.75  45.75  45.75  45.75  44.75  44.25
  44.125 44.125 44.125 44.125 44.125]]"
1,1.0,8.0,2.0,32.0,12.0,1.0,3.646416957999463,1.0704406310105696,8.0,[[28.2643948  46.98937424]],6.0,37.62688452077475,"[[83.    83.    83.    83.    83.    83.    83.    83.    83.    83.
  83.    82.    72.625 61.375 53.    52.125 42.875 39.625 39.25  39.5
  39.625 39.75  39.375 39.5   39.5   39.5   39.5   39.5   39.5   39.5
  39.5   39.5   39.5   39.5   39.5   39.5   39.625 41.75  43.125 44.25
  45.75  46.125 48.125 50.375 51.    51.    51.    48.875 39.25  29.625
  27.    26.375 24.75  24.5   24.5   24.5   24.5   24.5   24.5   24.5
  24.5   24.625 25.5   26.25  26.625 28.5   29.    29.75  29.75  29.75
  29.875 29.875 29.875 29.875 29.875 30.    30.25  30.375 30.375 30.625
  31.125 31.625 31.625 31.625 31.625]]"
2,1.0,8.0,3.0,68.0,20.0,1.0,3.1515837210026802,2.215832264992059,6.0,[[22.79630405 80.58029013 84.05489839 96.62428634]],4.0,71.0139447277425,"[[58.75  58.75  58.75  58.75  58.75  58.75  58.75  58.875 58.875 58.875
  58.875 58.875 58.875 58.875 58.875 58.875 58.875 56.375 56.125 56.125
  56.125 56.125 56.375 64.    64.75  64.75  64.75  64.75  64.75  64.75
  64.75  64.75  64.75  64.75  64.75  64.75  67.375 75.625 76.    76.
  76.    76.    76.    76.    76.    74.625 73.125 70.875 69.5   69.25
  69.25  69.25  69.25  68.625 68.5   68.5   68.5   68.5  ]]"
3,1.0,8.0,4.0,24.0,8.0,1.0,3.251423587993486,0.7569093529891688,10.0,[[12.82616024 30.32130213]],5.0,21.57373118271289,"[[48.875 48.875 48.875 48.875 48.875 48.875 48.875 48.875 48.875 48.875
  48.875 48.875 48.875 48.875 48.875 48.875 48.875 48.875 48.875 48.875
  48.875 48.875 48.875 48.875 48.875 48.875 48.875 48.125 46.625 45.
  42.5   41.375 40.5   40.5   39.75  39.125 38.    37.125 36.875 36.75
  36.75  36.75  36.5   36.375 36.25  36.25  36.25  36.25  36.25  36.25
  36.25  36.25  36.25  36.25  36.25  36.25  36.25  34.25  31.25  30.625
  29.625 28.75  28.    26.5   26.375 26.375 26.375 26.375 26.375 26.125
  25.875 25.625 25.125 24.75  24.5   24.5   24.5   24.5  ]]"
4,1.0,8.0,5.0,40.0,14.0,1.0,2.9352788899996085,1.1222140949976165,7.0,[[ 4.75651844 21.8927186  24.62046665 90.80360923]],6.0,35.5183282297888,"[[89.    89.    89.    89.    89.    89.    89.    89.    89.    89.
  89.    89.    89.    89.    89.    89.    85.125 78.    75.875 72.75
  72.375 70.625 69.25  68.25  65.625 65.625 65.625 65.625 64.25  62.25
  59.125 58.    54.75  53.875 52.5   51.625 50.875 50.75  50.75  50.75
  50.125 47.    46.125 42.75  41.75  39.875 39.875 39.875 39.875 39.875
  39.875 39.875 39.875 39.875 39.875 39.875 39.875 39.875]]"
5,1.0,8.0,6.0,41.0,8.0,1.0,2.9106774700048845,1.038658249002765,10.0,[[31.88954555 54.11299515]],4.0,43.00127034609848,"[[82.    82.    82.    82.    82.    82.    80.875 80.625 80.625 80.5
  79.75  78.    73.875 71.125 68.125 62.875 59.25  54.25  49.5   46.
  40.25  37.75  37.625 37.625 37.625 37.625 37.625 37.5   37.25  37.25
  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25  37.25
  37.25  37.125 37.375 37.5   37.5   36.125 34.125 33.375 32.75  32.75
  32.75  34.    37.375 39.625 40.125 40.5   40.625 40.625 40.75  40.75
  40.75  40.75  40.75  40.875 40.875 40.875 40.875]]"
6,1.0,8.0,7.0,29.0,14.0,0.0,3.0678311420051614,1.1708662570017623,0.0,[[ 6.00686878 13.93058648 43.1711146 ]],3.0,21.036189953015477,"[[65.625 65.625 65.625 65.625 65.625 65.625 65.625 65.625 65.625 65.625
  65.625 65.625 65.625 65.625 64.    60.375 58.625 54.875 53.125 52.
  52.    52.    51.25  47.25  43.625 43.    42.375 42.    41.5   41.125
  41.125 41.125 41.125 41.    40.875 40.875 40.875 40.875 40.875 40.875
  39.25  37.5   37.125 36.5   34.875 34.5   33.5   32.    30.125 29.375
  29.375 29.125 29.125 29.    29.    29.    29.    29.    29.    29.   ]]"
7,1.0,8.0,8.0,63.0,12.0,0.0,3.237184191995766,1.106215380001231,0.0,[[53.36818121 94.9996994 ]],3.0,74.18394030406083,"[[84.    84.    84.    84.    84.    84.    84.    84.    84.    84.
  84.    84.    83.375 81.5   78.375 76.375 74.5   68.5   63.5   58.375
  58.125 57.75  57.    57.    57.    56.875 56.875 56.875 56.875 56.875
  56.875 56.875 56.875 56.75  56.5   56.25  56.    55.75  55.625 54.875
  54.25  53.875 53.5   52.875 52.875 52.875 52.875 52.875 52.875 52.875
  52.875 52.875 52.875 52.875 52.875 52.875 53.25  54.5   56.5   58.25
  59.25  60.    60.875 61.25  61.75  62.375 62.875 63.    63.    63.
  63.    63.    63.    63.    63.    63.    63.   ]]"
8,1.0,8.0,9.0,54.0,14.0,1.0,2.6301710389961954,0.853295839013299,7.0,[[ 2.27388593 71.87005691 79.98176466]],3.0,51.375235833519554,"[[80.625 80.625 80.625 80.625 80.625 80.625 80.625 80.625 80.625 80.625
  80.625 80.625 80.625 80.625 80.625 80.5   80.375 80.125 79.75  78.75
  78.    75.25  71.    70.5   70.    69.5   68.    67.25  66.375 64.75
  63.375 62.125 61.25  60.    57.75  57.375 57.125 56.75  56.75  56.75
  56.75  56.75  56.75  56.25  55.375 55.375 55.25  54.625 54.25  54.25
  54.25  54.25 ]]"
9,1.0,8.0,10.0,70.0,14.0,1.0,4.644271314013167,1.4940217380062677,7.0,[[18.6062041  78.8970647  92.28706067 99.75049831]],2.0,72.38520694297132,"[[96.875 96.875 96.875 96.875 96.875 96.875 96.875 96.875 96.875 96.875
  96.875 96.875 96.875 96.875 96.625 96.625 96.625 96.625 96.625 96.625
  96.625 96.625 96.625 96.5   94.375 90.625 78.    73.375 67.875 61.
  59.25  56.75  56.625 56.125 56.125 56.125 56.125 56.125 56.125 56.125
  56.125 56.125 56.125 56.125 56.5   58.125 59.25  61.625 62.    62.
  62.    62.125 64.375 64.625 64.875 65.125 65.25  65.25  65.25  65.25
  65.25  65.25  65.5   66.25  67.    67.375 67.625 67.625 68.5   69.75
  70.    70.125 70.125 70.125 70.125 70.125 70.125 70.125 70.125 70.125
  70.125 70.125 70.125]]"
