,0
0,54.88
1,62.75
2,60.75
3,93.88
4,98.5
5,85.62
6,26.5
7,92.88
8,31.38
9,50.25
10,86.25
11,4.75
12,38.62
13,20.12
14,18.62
15,49.5
16,36.75
17,47.88
18,90.5
19,68.62
20,83.0
21,71.12
22,26.75
23,15.12
24,17.25
25,16.25
26,3.5
27,7.88
28,91.88
29,6.62
30,35.75
31,80.75
32,27.12
33,78.5
34,45.25
35,49.5
36,35.25
37,76.38
38,63.25
39,77.38
40,42.38
41,77.12
42,12.38
43,4.88
44,50.5
45,65.88
46,63.38
47,88.0
48,3.0
49,95.88
50,96.0
51,1.38
52,33.5
53,83.12
54,36.75
55,73.12
56,89.88
57,36.62
58,63.88
59,10.62
60,31.0
61,73.25
62,5.88
63,21.62
64,24.5
65,97.88
66,61.88
67,39.5
68,97.62
69,15.38
70,38.75
71,56.38
72,96.5
73,16.0
74,14.5
75,30.38
76,5.75
77,89.25
78,77.5
79,88.25
80,24.38
81,91.88
82,70.38
83,92.62
84,78.75
85,95.38
86,62.62
87,9.12
88,36.12
89,36.0
90,5.12
91,92.12
92,91.25
93,7.88
94,81.75
95,27.38
96,52.12
97,28.25
98,71.88
99,30.12
100,76.12
101,74.25
102,56.75
103,79.88
104,10.5
105,27.5
106,75.88
107,90.88
108,66.0
109,96.38
110,91.62
111,16.5
112,44.75
113,54.0
114,25.62
115,54.12
116,79.75
117,35.0
118,46.25
119,6.75
120,32.0
121,57.38
122,85.12
123,58.62
124,24.0
125,22.38
126,22.5
127,74.75
128,77.75
129,19.38
130,59.0
131,94.75
132,60.5
133,24.38
134,62.0
135,68.5
136,86.5
137,96.75
138,43.0
139,76.12
140,71.5
141,98.38
142,45.88
143,9.62
144,85.5
145,64.75
146,58.5
147,40.75
148,74.75
149,75.0
150,65.38
151,82.25
152,72.38
153,18.75
154,88.75
155,17.25
156,98.88
157,31.5
158,59.75
159,3.5
160,90.88
161,11.88
162,98.62
163,95.62
164,72.62
165,79.62
166,13.62
167,48.12
168,69.25
169,26.62
170,93.0
171,66.75
172,89.88
173,57.0
174,73.88
175,46.12
176,56.38
177,98.25
178,46.75
179,72.88
180,59.5
181,88.0
182,68.75
183,77.25
184,69.75
185,5.0
186,14.88
187,38.0
188,38.12
189,17.0
190,42.88
191,67.75
192,87.25
193,55.75
194,96.12
195,51.62
196,68.38
197,71.75
198,67.12
199,56.5
200,35.75
201,24.12
202,80.75
203,54.25
204,15.38
205,77.25
206,28.12
207,42.5
208,55.25
209,35.25
210,81.12
211,21.88
212,32.5
213,61.75
214,23.62
215,91.12
216,51.88
217,63.5
218,48.38
219,64.5
220,61.88
221,13.75
222,50.38
223,49.5
224,70.88
225,18.5
226,31.75
227,73.38
228,30.88
229,3.62
230,83.62
231,11.5
232,87.0
233,68.38
234,9.5
235,64.0
236,5.88
237,40.12
238,51.38
239,39.12
240,61.38
241,91.0
242,70.38
243,62.25
244,78.38
245,52.25
246,53.62
247,29.75
248,47.88
249,11.75
250,83.75
251,39.0
252,50.75
253,79.75
254,17.38
255,32.62
256,61.38
257,55.0
258,24.25
259,66.62
260,8.75
261,49.75
262,14.38
263,1.75
264,1.12
265,31.38
266,66.5
267,18.88
268,39.25
269,89.88
270,71.0
271,24.0
272,61.62
273,30.88
274,31.0
275,31.62
276,28.5
277,3.75
278,50.12
279,0.25
280,55.75
281,62.5
282,90.25
283,46.38
284,17.25
285,16.38
286,78.0
287,49.75
288,58.75
289,93.38
290,54.12
291,74.25
292,3.25
293,33.38
294,33.25
295,22.75
296,25.5
297,54.62
298,48.62
299,66.0
300,57.38
301,93.62
302,53.75
303,37.38
304,42.62
305,71.75
306,15.5
307,8.12
308,13.88
309,68.38
310,54.62
311,71.12
312,75.12
313,91.75
314,73.75
315,48.75
316,16.5
317,73.62
318,97.25
319,67.38
320,40.75
321,54.88
322,6.62
323,55.25
324,5.25
325,44.0
326,60.5
327,22.0
328,53.38
329,97.0
330,97.88
331,34.12
332,74.12
333,76.25
334,69.38
335,56.38
336,39.5
337,7.25
338,68.75
339,62.88
340,52.5
341,79.38
342,47.38
343,40.38
344,74.88
345,52.5
346,43.0
347,22.75
348,61.12
349,18.75
350,95.62
351,23.38
352,91.62
353,64.75
354,34.75
355,73.38
356,36.0
357,94.0
358,48.38
359,26.62
360,45.88
361,48.0
362,94.75
363,95.5
364,71.5
365,23.75
366,78.25
367,42.62
368,27.25
369,37.88
370,22.5
371,33.88
372,44.12
373,0.62
374,95.5
375,28.5
376,88.62
377,5.38
378,60.0
379,57.0
380,55.5
381,52.38
382,51.62
383,77.12
384,25.75
385,85.75
386,49.25
387,76.12
388,29.5
389,42.25
390,60.0
391,64.38
392,32.25
393,11.75
394,68.5
395,16.62
396,85.0
397,52.75
398,90.0
399,9.62
400,1.12
401,30.25
402,38.88
403,97.5
404,29.0
405,8.25
406,15.12
407,91.38
408,8.5
409,64.5
410,6.0
411,72.62
412,42.38
413,18.5
414,77.88
415,68.12
416,61.25
417,52.25
418,68.88
419,3.62
420,4.25
421,57.62
422,57.5
423,70.5
424,73.25
425,17.5
426,87.75
427,33.25
428,60.62
429,15.25
430,63.12
431,90.25
432,93.38
433,74.88
434,95.5
435,51.0
436,12.62
437,22.25
438,57.38
439,66.5
440,2.12
441,74.62
442,68.25
443,90.25
444,25.0
445,13.12
446,94.62
447,60.5
448,85.38
449,89.62
450,20.62
451,72.88
452,62.12
453,16.88
454,56.75
455,69.75
456,62.0
457,77.62
458,54.5
459,22.12
460,73.0
461,61.88
462,65.5
463,50.12
464,20.12
465,50.88
466,45.62
467,81.62
468,11.75
469,56.88
470,13.25
471,33.62
472,17.25
473,40.25
474,69.88
475,14.0
476,26.25
477,86.5
478,86.5
479,22.75
480,52.5
481,9.25
482,75.25
483,77.88
484,30.25
485,49.0
486,57.62
487,2.62
488,39.12
489,38.5
490,71.12
491,51.0
492,82.25
493,42.88
494,79.25
495,49.25
496,32.38
497,58.38
498,40.5
499,69.5
500,53.5
501,37.75
502,12.75
503,84.88
504,58.25
505,99.0
506,52.25
507,50.62
508,32.88
509,42.0
510,27.5
511,33.75
512,86.25
513,63.88
514,0.0
515,0.88
516,71.0
517,4.38
518,3.25
519,59.38
520,55.25
521,96.12
522,52.0
523,99.38
524,81.12
525,59.5
526,58.75
527,13.25
528,53.75
529,69.62
530,36.75
531,85.5
532,65.75
533,92.75
534,40.38
535,8.12
536,66.38
537,63.88
538,50.12
539,56.62
540,21.75
541,28.62
542,26.25
543,30.5
544,53.5
545,42.38
546,10.25
547,53.62
548,56.75
549,78.12
550,83.0
551,19.88
552,33.75
553,70.75
554,66.25
555,68.25
556,34.12
557,54.38
558,66.5
559,51.38
560,68.5
561,68.0
562,73.62
563,26.5
564,5.5
565,68.38
566,22.88
567,73.5
568,22.38
569,51.62
570,31.62
571,92.12
572,45.38
573,71.62
574,40.25
575,43.0
576,88.38
577,13.62
578,75.25
579,88.25
580,68.5
581,41.62
582,66.75
583,67.12
584,36.25
585,47.75
586,65.75
587,62.62
588,76.25
589,62.75
590,62.5
591,55.12
592,53.38
593,38.88
594,29.62
595,22.75
596,0.0
597,6.5
598,98.75
599,82.62
600,66.88
601,87.5
602,44.88
603,12.5
604,36.38
605,32.25
606,66.5
607,8.62
608,88.75
609,7.88
610,59.12
611,40.38
612,60.62
613,54.75
614,21.38
615,47.5
616,57.38
617,95.12
618,16.38
619,48.0
620,45.12
621,15.38
622,1.12
623,5.75
624,39.88
625,36.88
626,29.88
627,16.12
628,3.88
629,39.5
630,18.0
631,37.38
632,67.5
633,19.5
634,19.5
635,18.25
636,83.12
637,42.38
638,73.62
639,79.88
640,9.5
641,8.38
642,34.12
643,29.12
644,51.0
645,30.25
646,5.12
647,72.75
648,60.25
649,95.75
650,25.75
651,81.25
652,9.88
653,93.5
654,93.0
655,87.38
656,30.5
657,1.62
658,61.0
