,0
0,[[12.6  49.38]]
1,[[25.67 49.33 60.01 93.47]]
2,[[64.12 87.24]]
3,[[10.67 27.83 53.48 82.99 86.32 99.52]]
4,[[30.97 93.68 99.97]]
5,[[18.68 19.52 38.97 68.64]]
6,[[ 1.7  94.79]]
7,[[ 9.32 14.61 52.67 71.1  80.83]]
8,[[ 3.07 14.64 33.07 49.36 72.45]]
9,[[30.05 35.47 81.99]]
10,[[ 8.94 27.83 68.71]]
11,[[71.74 97.24]]
12,[[17.73 57.77 58.43 97.73]]
13,[[16.62 21.73 24.36 52.07 62.14 95.95]]
14,[[12.08 46.74 50.19 56.71 63.83 83.43]]
15,[[17.58 54.62 66.88 76.83 90.12]]
16,[[ 6.45 28.68 95.19]]
17,[[14.85 41.05]]
18,[[11.99 32.43 35.89]]
19,[[50.03 53.09 55.98 65.45 67.57 73.39]]
20,[[ 4.76 27.51 51.04 54.91 95.98]]
21,[[28.84 86.97 93.09]]
22,[[14.36 25.59 27.84 38.76]]
23,[[ 0.75 21.36 27.04 60.72 83.36 83.83]]
24,[[ 8.27 22.33 44.55 86.  ]]
25,[[14.18 33.3  54.27 70.7  79.3  79.76]]
26,[[16.27 27.65 44.97 75.49 92.6 ]]
27,[[78.42 92.2 ]]
28,[[ 3.31 27.88 33.38 38.04 43.24 85.68]]
29,[[51.36 72.67 78.41]]
30,[[ 2.76 43.72 48.87 49.34 79.38 84.63]]
31,[[23.42 81.99]]
32,[[50.53 69.57]]
33,[[ 7.47 15.66 40.91 44.85 94.93]]
34,[[28.94 88.04 91.83 99.14]]
35,[[ 5.88 39.69 58.35 71.01 98.29]]
36,[[ 8.92 29.96 80.96]]
37,[[16.55 27.19 31.34 94.64 99.19]]
38,[[62.66 68.88]]
39,[[25.36 44.79]]
40,[[27.62 83.13]]
41,[[ 8.11 14.14 30.02 81.8 ]]
42,[[20.54 40.13 43.22 44.85 63.08 66.6 ]]
43,[[32.9  57.75 58.46 58.96]]
44,[[18.44 32.99 53.48]]
45,[[ 6.69 23.38 48.76 83.58 95.67]]
46,[[ 7.17 20.01 21.98 52.28]]
47,[[29.6  33.21 49.3  79.25]]
48,[[20.19 20.92 26.77 49.91 81.04]]
49,[[34.17 49.6  52.45]]
50,[[39.81 64.82 91.92]]
51,[[ 7.56 52.22 62.02 64.08 85.07 94.2 ]]
52,[[40.7  50.11 63.74 82.   86.82 90.06]]
53,[[14.23 62.44 66.31 72.96 82.15 93.02]]
54,[[ 4.34  6.86 24.43 48.48 69.79]]
55,[[17.25 29.9  48.95 94.04 99.45]]
56,[[18.99 23.1  32.97 72.54 78.13]]
57,[[ 4.82 15.34 98.3 ]]
58,[[13.59 36.9  38.26 39.13 45.63 57.24]]
59,[[18.74 20.94 57.93]]
60,[[10.02 86.01]]
61,[[15.83 25.14 35.02 54.63 57.81 85.55]]
62,[[ 1.52  7.1  21.29 40.28 67.75 89.74]]
63,[[12.15 16.16 83.72]]
64,[[ 3.23 48.33 87.76]]
65,[[28.79 32.06 80.8 ]]
66,[[16.85 34.28 38.92 56.24 97.6 ]]
67,[[48.27 73.32]]
68,[[ 9.38 57.81]]
69,[[36.16 83.41]]
70,[[ 4.32 10.9  57.43 59.41]]
71,[[53.18 72.55 82.05]]
72,[[ 0.67 10.55 41.64 75.76 85.59]]
73,[[36.55 45.94 49.27 52.58]]
74,[[ 1.75 20.37 22.41 60.25 81.93 87.8 ]]
75,[[21.82 44.3  72.11 78.94]]
76,[[12.84 23.59 32.66 44.79 46.92]]
77,[[ 0.51 18.84 76.65 92.63]]
78,[[16.2  22.77 71.24]]
79,[[33.85 34.77 89.03]]
80,[[13.24 21.25]]
81,[[ 3.51 24.49 36.74 77.8  80.68]]
82,[[ 0.47 26.14 29.61 82.25]]
83,[[12.08 49.6  55.18 68.33 79.32 90.26]]
84,[[ 0.82 31.76 41.44 51.09 67.93 85.24]]
85,[[31.05 58.16 71.66 85.02 91.8 ]]
86,[[27.64 69.01]]
87,[[ 6.93 33.4  39.7  43.26 65.84]]
88,[[24.21 31.   32.09 40.12]]
89,[[67.27 81.87 98.41]]
90,[[ 4.6   9.04 15.1  28.06 61.74 65.63]]
91,[[55.13 65.5 ]]
92,[[ 5.73  8.32 34.69 70.93 84.89]]
93,[[18.15 64.5  75.3 ]]
94,[[58.83 80.26]]
95,[[ 0.69  8.29 18.45 59.35]]
96,[[ 7.41 28.09]]
97,[[48.05 87.6  93.96 94.74]]
98,[[47.84 87.38 92.94 93.1 ]]
99,[[ 0.54 23.25 26.82 84.88]]
100,[[ 8.04 20.21 68.7  71.89 92.81]]
101,[[ 5.78 68.75 73.37 90.9 ]]
102,[[ 0.17 21.24 40.32 40.45 73.05]]
103,[[40.96 68.09 72.93]]
104,[[15.29 32.65 54.86 64.11 76.25]]
105,[[42.85 43.71 54.93 68.66 82.95 92.72]]
106,[[39.01 41.72 53.28 63.2  68.14 69.14]]
107,[[51.81 97.28]]
108,[[42.37 45.26 74.79 90.34]]
109,[[41.48 43.97 80.98 93.61]]
110,[[59.84 62.24]]
111,[[37.03 40.84 54.79 73.23 80.63 95.36]]
112,[[38.27 60.04]]
113,[[35.56 41.41]]
114,[[ 2.03 99.18]]
115,[[ 4.22 16.9  29.3  47.94 69.59]]
116,[[21.97 45.62]]
117,[[12.37 23.75]]
118,[[ 8.86  9.38 17.4 ]]
119,[[ 1.84 16.15 32.66 36.45 36.85 86.94]]
120,[[ 5.15 12.39 15.33 25.42 53.82]]
121,[[ 2.38 26.45 31.11 65.11]]
122,[[ 0.44 35.97 50.87 64.45]]
123,[[42.18 51.8  57.58 57.74 82.72 98.67]]
124,[[ 1.12 38.66 78.64]]
125,[[58.76 79.59 92.3 ]]
126,[[26.33 58.01 59.08]]
127,[[48.8  68.93 73.77 91.44 97.72]]
128,[[36.42 53.83 71.13]]
129,[[ 4.29 17.06 33.53 39.58 56.74 99.94]]
130,[[54.98 61.36 73.39]]
131,[[25.28 36.85 47.02 52.48 97.88 99.41]]
132,[[12.62 14.81]]
133,[[54.92 82.48]]
134,[[ 7.98 11.19 30.47 63.84]]
135,[[ 8.97 27.49 56.69]]
136,[[15.39 25.19 94.99 95.78]]
137,[[13.81 37.37 44.41 56.56 73.81 91.02]]
138,[[ 0.56 42.41 64.31 96.27]]
139,[[65.93 83.43]]
140,[[14.07 63.43 72.88 82.93 90.83 91.06]]
141,[[ 8.25 26.52 30.2 ]]
142,[[ 4.21 15.98 57.4  61.59 87.72]]
143,[[13.06 30.28 44.18 53.5  68.72 96.68]]
144,[[32.75 45.98 53.15 86.25]]
145,[[27.72 45.35 51.75 71.29]]
146,[[ 5.67 12.69 40.19 77.62 88.48]]
147,[[19.24 21.72 25.41 38.77 98.66]]
148,[[27.   38.38 47.78 53.52 59.35 72.71]]
149,[[18.87 32.14 51.73 54.51 69.64]]
150,[[27.56 91.06]]
151,[[ 1.97 22.44 82.73]]
152,[[45.95 48.05]]
153,[[28.9  77.02 77.7 ]]
154,[[24.8  30.13 57.54 82.21 90.07]]
155,[[ 6.09 95.63]]
156,[[ 6.02 10.96 16.11 20.29 41.84 54.73]]
157,[[ 5.27 40.83 57.48 68.7 ]]
158,[[35.48 42.69 42.72 66.53 96.08]]
159,[[23.73 28.6  62.55 63.59 94.61 99.14]]
160,[[ 5.11 29.92 38.62 39.32 59.73 81.89]]
161,[[48.81 54.54 55.97 56.1  58.82]]
162,[[27.64 67.58 80.81]]
163,[[33.33 71.99 86.35]]
164,[[ 2.74 21.29 24.   35.21 37.86]]
165,[[16.36 44.74 55.52 61.31 92.63 99.73]]
166,[[ 5.26 19.91 60.   79.85 81.83]]
167,[[15.62 30.73 52.4  63.75 83.24 99.4 ]]
168,[[28.6  31.91 43.28 55.53 65.97 66.83]]
169,[[57.23 59.21 79.79 96.99]]
170,[[16.16 35.94 38.91 63.37 87.73 96.73]]
171,[[81.86 91.2 ]]
172,[[ 6.08 96.55]]
173,[[70.65 73.97]]
174,[[19.47 31.11 88.05]]
175,[[14.57 26.35 47.5  52.84 63.87]]
176,[[ 7.19 30.16 40.83 43.92 44.44 62.87]]
177,[[15.65 26.82 28.87 31.09 59.6  81.7 ]]
178,[[27.22 79.68 85.46 86.94 90.83 92.52]]
179,[[20.62 33.28 75.28]]
180,[[21.15 24.83 32.78 43.7 ]]
181,[[44.14 51.84 54.29 56.44 93.54 98.95]]
182,[[41.59 83.07 90.86]]
183,[[21.41 29.79 64.41 97.08 97.89 98.71]]
184,[[14.27 28.92 54.23 70.23]]
185,[[11.45 29.77 91.38]]
186,[[ 2.91 77.54]]
187,[[18.84 45.21 56.89 62.68 66.06 87.94]]
188,[[ 2.04 55.76 82.93 94.24]]
189,[[ 7.93 26.45 58.39]]
190,[[24.18 45.01 45.66 90.22]]
191,[[32.03 81.52]]
192,[[34.87 42.51 59.34 64.93]]
193,[[21.31 22.61 59.13]]
194,[[81.83 95.05 97.8 ]]
195,[[12.19 46.52 46.53 60.73 74.84]]
196,[[ 8.05  9.84 54.72 75.07 87.77 94.91]]
197,[[27.41 55.4  65.11 90.04]]
198,[[28.05 67.84]]
199,[[10.29 10.98 18.98 67.39]]
200,[[62.04 93.21]]
201,[[29.1  62.62 80.2  84.59 85.88]]
202,[[19.92 43.38 71.05]]
203,[[21.07 35.96 39.25 81.62 81.73 92.63]]
204,[[70.16 81.15]]
205,[[87.73 96.39]]
206,[[13.92 26.84 80.2 ]]
207,[[55.97 69.88 98.68]]
208,[[50.57 55.58]]
209,[[40.34 52.82 62.68 80.01]]
210,[[ 2.47 23.19 32.71 56.2  81.1 ]]
211,[[ 0.1  39.75 64.2  99.53]]
212,[[45.82 47.37 53.06]]
213,[[ 8.22 30.37 48.24 90.59]]
214,[[80.29 83.17 99.04]]
215,[[42.97 91.14]]
216,[[ 3.79  5.37 62.06 78.68 91.68]]
217,[[16.82 48.59 51.46]]
218,[[12.86 47.03 65.41]]
219,[[12.82 41.1  65.15 78.15]]
220,[[53.58 55.92 64.83]]
221,[[74.26 97.22]]
222,[[26.85 32.39 91.12]]
223,[[ 7.24 65.88 68.73 74.12 89.27]]
224,[[6.98 8.49]]
225,[[ 2.01  3.7  10.09 30.73]]
226,[[63.73 68.48]]
227,[[37.94 61.14 64.74 95.06]]
228,[[33.73 42.67 45.55 68.25 86.44]]
229,[[32.28 42.76 59.6  63.85 89.58]]
230,[[50.29 74.86 83.43 85.47]]
231,[[4.000e-02 9.692e+01]]
232,[[38.86 53.71 66.91]]
233,[[44.54 56.93]]
234,[[65.95 71.91]]
235,[[25.84 30.16 53.49 89.94 93.4 ]]
236,[[ 1.87 15.43]]
237,[[19.23 20.57 29.88 31.85 50.78 58.04]]
238,[[21.74 48.38]]
239,[[19.75 65.01 72.68 85.04]]
240,[[18.28 35.23 47.54 59.75]]
241,[[ 2.2  10.49 16.8  20.82 56.4 ]]
242,[[ 2.64 20.24 25.28 55.3  60.25 68.62]]
243,[[ 2.88  5.82 54.6  67.31]]
244,[[ 9.98 31.09 84.41 85.96 87.72 89.86]]
245,[[12.37 21.36 23.68 58.37 64.06 94.09]]
246,[[ 0.69 14.32 22.53 28.03 50.69 56.62]]
247,[[ 2.28 13.46 15.24 42.7  92.94]]
248,[[41.11 62.48]]
249,[[35.27 58.36 65.42 69.37]]
250,[[27.15 44.59 71.67]]
251,[[ 4.81 29.6  33.43 43.17 47.72 75.29]]
252,[[16.9  31.77 87.67 92.02 96.64]]
253,[[13.96 53.64 89.58 95.81]]
254,[[10.75 33.   35.89 72.57 78.63 87.81]]
255,[[12.71 46.38 59.76 86.66 99.38]]
256,[[18.98 38.72 49.75 50.7  85.04]]
257,[[29.87 36.86 45.35 50.26 61.4 ]]
258,[[34.59 75.5  85.08 87.75 91.55 94.71]]
259,[[21.74 24.94 53.75 57.59]]
260,[[ 4.22 49.84 75.79 85.17 95.85]]
261,[[20.22 34.76 48.4  61.45 75.2  89.96]]
262,[[12.87 25.2  44.18 64.45]]
263,[[ 5.56 10.38 29.61 37.78 69.59 89.05]]
264,[[58.54 82.81]]
265,[[ 3.8  26.53 72.14 81.15]]
266,[[38.01 48.75]]
267,[[ 6.03 14.1  24.69 67.66 84.54]]
268,[[18.56 21.66 58.59 58.84 68.9 ]]
269,[[23.19 51.69 70.28 79.66]]
270,[[20.42 27.32 36.72 43.72 83.13]]
271,[[11.94 31.74 38.03 69.3  89.25]]
272,[[12.31 26.01 38.84 46.3  62.37]]
273,[[ 0.67 39.41 48.98 64.95 82.92]]
274,[[11.04 67.77 69.52]]
275,[[40.58 44.68 48.38 65.62 82.02 97.26]]
276,[[ 8.25 46.67 91.9 ]]
277,[[ 9.93 67.87 74.78]]
278,[[58.62 58.78 63.88]]
279,[[54.92 69.46 70.82 84.15]]
280,[[30.75 32.9  44.02 63.94 82.46 97.74]]
281,[[33.76 65.5 ]]
282,[[ 6.53 42.62 51.   95.15]]
283,[[ 8.64 12.45]]
284,[[51.3  66.76 99.66]]
285,[[ 2.09 37.8  53.77 65.22 90.03 97.44]]
286,[[16.56 22.27 32.51 53.76 80.83]]
287,[[ 3.28 11.75 44.58 59.71 73.58 98.98]]
288,[[25.77 38.27 56.06 69.66 74.39]]
289,[[31.65 37.15 53.14 55.88 59.17]]
290,[[23.69 63.72 98.38]]
291,[[29.63 40.69]]
292,[[13.53 24.69 42.18]]
293,[[ 3.   16.08 39.45 72.05]]
294,[[10.07 36.15 58.15 83.05]]
295,[[18.94 56.19]]
296,[[ 2.58 35.21 62.81 72.86 82.77 94.68]]
297,[[ 7.59 36.8  70.35]]
298,[[53.37 57.42 74.97 79.76]]
299,[[44.56 59.21]]
300,[[55.78 99.94]]
301,[[ 6.2  22.65 33.83 70.41 79.58 91.93]]
302,[[26.16 54.43 84.98]]
303,[[32.17 64.44]]
304,[[ 3.08 24.43 42.38 97.45 99.02]]
305,[[ 4.28 17.29 41.54]]
306,[[ 3.84  5.   19.45 54.23 72.46]]
307,[[15.22 55.16 59.66 74.94]]
308,[[66.35 82.69]]
309,[[29.51 81.38 88.89]]
310,[[62.74 71.09]]
311,[[ 2.14 73.99 90.47]]
312,[[13.72 52.08 61.97]]
313,[[22.42 29.67 61.52 67.1  89.07 99.91]]
314,[[14.14 15.89 93.98]]
315,[[ 6.96 64.53 94.15]]
316,[[34.77 95.18]]
317,[[12.48 18.96 20.51 47.91 70.57]]
318,[[ 5.79 26.57 41.3  45.67]]
319,[[ 0.76 34.65 40.   47.53]]
320,[[25.08 61.42 66.99 94.39]]
321,[[ 1.32  3.41 13.94 14.78 40.01 74.74]]
322,[[16.  94.4]]
323,[[ 8.35 22.99 66.88]]
324,[[ 8.61 41.21 51.17]]
325,[[ 0.63 44.49 93.01]]
326,[[ 9.85 45.31 48.72 77.03]]
327,[[34.76 50.4  68.23 70.81]]
328,[[17.88 36.75 78.23 83.67 96.09]]
329,[[26.95 40.62 56.27 68.   80.34 86.04]]
330,[[28.94 67.92 79.07]]
331,[[ 8.84 11.13 14.1  46.69 66.14]]
332,[[13.19 38.8  55.96 98.59]]
333,[[21.08 44.16 70.25]]
334,[[30.18 55.33 64.73]]
335,[[ 2.85 11.75 52.43 61.52 87.55]]
336,[[51.27 77.13 84.82 89.37]]
337,[[ 2.62  6.12 14.82 54.4  55.83 70.12]]
338,[[13.95 15.39 25.9  70.12 98.75]]
339,[[12.15 23.21 40.09 56.62 75.14 97.31]]
340,[[48.78 77.32 86.01]]
341,[[ 2.68 60.35 89.34 96.14 97.02]]
342,[[ 0.65 27.47 31.07 65.3 ]]
343,[[15.5  20.01 29.52 30.53 47.88 55.18]]
344,[[ 7.   69.74 79.07 90.52]]
345,[[36.9  79.91]]
346,[[ 2.97 16.68 36.32 46.26 71.28]]
347,[[36.03 79.14 96.38]]
348,[[29.27 35.05 35.62 88.2 ]]
349,[[40.28 45.12]]
350,[[ 4.22 64.26]]
351,[[28.44 60.72 93.75 94.51 95.64]]
352,[[28.49 32.94 33.56 45.98 54.21 82.45]]
353,[[ 2.98 79.95]]
354,[[ 8.84 57.13]]
355,[[12.66 21.4  30.31 31.93 47.83 67.12]]
356,[[ 2.83 20.51 24.6  42.74 43.23 83.98]]
357,[[ 6.94 48.98 64.77 66.01 87.42]]
358,[[11.31 45.14 55.6  59.8  86.05 97.4 ]]
359,[[ 3.97  5.21 32.16 66.39 67.26 93.81]]
360,[[34.47 85.55 85.81]]
361,[[6.83 6.96]]
362,[[ 4.31 45.35 52.35 73.07 85.37 99.21]]
363,[[ 1.68 23.6  31.12 57.99]]
364,[[ 8.77 19.13 99.9 ]]
365,[[ 2.52  3.18 36.66 37.37 68.5  94.08]]
366,[[ 1.44 90.85 96.33]]
367,[[11.75 18.26 62.97 88.08]]
368,[[17.97 47.71 69.82 71.55 92.41 96.4 ]]
369,[[ 4.38  8.26 80.74]]
370,[[46.06 64.49 67.  ]]
371,[[11.71 27.27 33.28 76.44]]
372,[[ 2.24  5.46 41.14 84.34]]
373,[[33.07 52.97 56.16 92.77]]
374,[[ 4.14  6.25 41.79 74.99]]
375,[[ 0.09 51.24 51.55 82.08 82.4 ]]
376,[[ 2.94 42.04]]
377,[[22.87 33.46 61.05 67.57 91.83]]
378,[[32.09 60.25]]
379,[[ 6.65  7.14 64.62 72.02 96.15]]
380,[[ 9.43 17.37 90.53]]
381,[[ 4.52  9.96 12.98 37.61 46.6 ]]
382,[[32.74 37.4  50.54 58.64 96.6 ]]
383,[[ 6.28 32.77 39.06 69.07 70.01]]
