mu_pred,conf_pred,iter_pred
31.4553772155486,8,4
56.4018448408987,9.2,3
75.5802460818051,6.6,8
63.575366852259,7,11
70.8891887377754,10.6,3
36.0092196805608,6.8,3
47.1398051634782,17,13
49.7634483501074,9,3
31.6627982137269,5.6,6
45.9295440443521,9.8,4
36.3483625782886,9.6,8
84.419087689034,6.6,4
59.727809604516,11.4,6
47.5128727920806,9,4
50.8176525854769,6.4,5
58.6798405981918,10.2,4
39.97772789214,12.8,16
26.4010273906223,6.2,3
28.3049921046024,4,5
60.9459576970862,3.4,4
48.212141292855,7.6,4
68.5969530973927,11,6
27.2058587912771,3.8,4
45.55609738362,10.4,6
41.5873068650853,11.4,13
55.7001598886938,7.4,10
53.7523363775118,8.6,4
86.4397921931199,3.6,2
38.8632719074095,7.6,14
66.706159493819,5,3
51.431716350048,7.8,11
48.4550341783202,10.8,4
61.261545113619,3.8,5
40.9777100937215,8,4
77.6710155350192,9.6,21
53.8468506589911,7.8,4
40.4311431775068,13.8,31
52.6153388303382,9.8,3
65.384654402606,2,4
33.5212180725892,6,6
57.0674189287185,17,7
32.2195349841775,10.2,9
46.1047933465639,4.4,4
50.8755123486031,4.2,6
37.7444034640735,6,5
53.40182719866,10,12
24.3363322375404,4.8,3
47.2774439895053,6.6,4
39.997201247603,6.8,4
45.6436210025963,3.4,5
64.3830352663606,8.2,5
59.4052632965025,7.8,12
68.7182167118804,4.8,4
68.0928568511624,7.6,3
34.6059716944878,6.6,6
56.6486209629441,10.6,7
48.517505667093,8.2,3
38.7602047641815,17.4,7
37.4630293473563,4.8,5
32.9266192460858,7.2,9
51.9041549361142,17.8,6
44.4874064558703,6.4,4
37.683528027797,9.6,7
35.4123329429992,11.8,4
45.0931879781448,11.2,16
46.1592891439455,10.8,4
47.7618858499314,6.6,13
60.2793296581779,5,4
32.3132962987568,10.8,14
60.5357332569939,12.6,22
36.0045339874836,8,3
70.3330003558515,3.6,6
42.4254210634997,9,13
46.4503214636689,2,4
46.4271204075886,9,9
53.9571029059002,8.6,4
32.5965755557045,4.4,7
49.1823338459351,13,12
33.9071703094519,8.8,4
54.2659107475185,10.6,22
17.2903599455363,2.4,3
46.1658266149011,8.6,17
37.9947903314282,9.8,11
59.0569720362617,6,3
47.2747698122683,8.4,7
67.9348703895318,6.8,6
47.0359066486358,8.4,5
38.7929204128141,5.8,12
31.781038967827,2.8,5
81.2566197922727,4,11
29.5408551114159,7.2,3
60.8631839266335,4.2,5
40.4818364499154,9.2,3
51.3897125932023,12.6,9
72.9500493104749,5.2,3
21.8706222032809,8,3
18.7649630755372,7,6
80.3982697141715,6.8,7
78.8676484947468,8,8
30.690152696182,8.6,7
54.1056133421568,8.4,11
66.1858955615618,9,3
34.63643461026,6.2,6
60.6684026861175,4.4,3
49.5947765087382,6.4,3
62.123346322952,5.2,4
56.448998300103,3.4,4
68.9735855828183,10.6,5
65.6974510192344,7.2,8
63.4853290838809,7.6,4
61.0953684235078,0.6,4
63.6648630777336,6,4
48.0147760585089,5.4,6
38.4729472170825,2.2,4
50.0720582565433,14.4,7
35.2967340823045,6.8,5
33.5030894701895,4.4,6
17.5273927889898,2.6,3
12.1261252546309,1.8,4
35.1097249256673,6.8,4
21.5189069759031,3.6,4
26.5777857422434,9.4,4
36.0469038201206,7.4,7
67.8366132082769,7.8,5
45.8473514202901,11.4,14
76.0699131250261,4.6,5
46.7937974043027,7,6
75.4207196048684,6,4
54.7830489346122,5.8,4
41.5547943777525,6.6,2
63.8358528559676,3.8,4
59.783136258587,9.4,14
13.7142883377481,1,3
66.1445974284874,6.8,4
31.910435192184,6.6,7
33.4859992023133,10,3
54.4874309588263,11.4,6
53.4113577698294,9.2,4
47.34318589749,17,3
73.4886290439009,4,5
68.0718194221285,8.8,5
20.1766768756451,4.4,4
47.3959548355586,9.6,17
52.5750588525986,8.2,5
56.9268624380144,8,6
49.632354620657,5,8
44.9546038094557,8.4,10
41.3212176780724,9.4,6
50.5353060878685,5.2,3
48.1898358735088,5,5
58.1200724970564,12.2,14
35.1525098308183,9.4,3
46.827033671119,0.8,3
59.7522588891463,10,18
53.8731077417171,9.4,8
51.8002726428951,20.4,24
24.4768411093733,6.8,5
42.1686879417056,10.4,15
56.2620780185628,7.4,3
62.6531411868277,8.4,6
41.6438811828104,7.4,3
55.1245135216031,1.2,4
58.6794269619053,9,10
62.0882788385647,9.2,8
24.2641355282752,3.6,5
61.8288812553597,7.2,3
49.5720774056113,10,3
59.4485824279029,7,15
49.5266759430869,4.4,4
74.2822245227016,5,5
56.4169184762582,7.6,3
86.4236149143898,2.2,4
52.752044426593,17.8,20
72.2753836937479,1,4
43.2244325675148,9.4,4
