,Num_block,Block_ID,Trial_ID,Resp_loc,Resp_conf,Correct,RT_resp,RT_conf,Wager,x,N,x_mean,Mouse_track,X
0,1.0,1.0,1.0,52.0,11.5,0.0,16.046463560996926,2.1614930430077948,0.0,,5.0,41.959641511161905,"[[  0.      0.     10.5    10.5    10.5    10.5    10.5    10.5    10.5
   10.5    10.5    10.5    10.5    10.5    10.5    10.5    10.5    10.5
   10.5    10.5    10.5    10.5    10.5    10.5    10.5    10.5    10.5
   10.5    10.5    10.5    10.5    10.5    10.5    10.5    10.5    10.5
   10.5    10.5    10.5    10.5    10.5    10.5    10.5    10.5    10.5
   10.5    10.5    10.5    10.5    10.5    10.5    10.5    10.5    10.5
   10.5    10.5    10.5   100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.     99.25   76.     60.875  41.75   23.375  19.5
   19.375  19.375  19.375  19.375  19.375  19.375  19.375  19.375  19.25
   19.     19.375  19.375  19.375  19.375  19.375  19.375  19.375  19.375
   19.375  20.125  21.625  21.875  21.875  22.125  22.25   22.875  23.875
   23.875  23.875  23.875  23.875  23.875  23.875  23.875  23.875  23.875
   23.875  23.875  23.875  23.875  23.875  23.875  23.875  23.875  23.875
   23.875  23.875  23.875  23.875  23.875  23.875  23.875  23.875  23.875
   23.875  25.25   28.375  32.125  32.125  32.125  32.75   33.625  34.625
   34.875  34.875  34.875  34.875  34.875  34.875  34.875  34.875  34.875
   34.875  34.875  34.875  34.875  34.875  34.875  34.875  34.875  34.875
   34.875  39.25   41.     43.375  45.     46.125  47.625  48.25   49.75
   50.875  52.25   52.375  52.375  52.375  52.375  52.375  52.375  52.375
   52.375]]",[[52.62234359 71.76835373 26.25545188  7.50733625 51.64472211]]
1,1.0,1.0,2.0,47.0,12.5,0.0,5.621703189011896,0.9930730350024533,0.0,,5.0,59.90968399399695,"[[46.25  46.25  46.25  46.25  46.25  46.25  46.25  46.25  46.25  46.25
  46.25  46.125 46.125 46.125 46.125 46.125 46.125 46.125 46.125 46.125
  46.125 46.125 46.125 46.125 46.125 46.125 46.125 46.125 46.    46.
  46.    46.    46.    46.    46.375 50.625 50.625 50.625 50.625 50.625
  50.625 50.625 50.625 50.5   50.25  50.125 49.875 49.25  48.25  46.5
  46.375 46.375 46.375 46.375 46.375 46.375 46.375 46.375 46.375 46.5
  46.625 46.625 46.625 47.125 47.375 47.375 47.375]]",[[49.82295063 22.01815046 90.96864108 38.7326048  98.006073  ]]
2,1.0,1.0,3.0,82.0,11.25,1.0,7.403024817991536,1.274464144007652,8.0,,4.0,78.99680769311237,"[[53.25  53.25  53.25  53.25  53.25  53.25  53.25  53.25  53.25  53.25
  53.25  53.25  53.25  53.25  53.25  53.25  53.25  53.25  53.5   53.5
  53.5   53.5   53.5   53.5   53.5   53.5   53.5   53.5   53.5   53.5
  53.5   53.5   53.5   53.5   53.5   53.5   53.5   53.5   53.5   53.5
  53.5   53.5   53.5   53.5   53.875 54.625 55.    55.25  56.25  56.625
  58.    59.25  62.125 63.625 65.    65.    65.5   65.5   65.5   65.5
  65.5   67.875 69.75  71.75  71.75  71.75  71.75  71.75  72.375 72.75
  72.75  74.    76.375 78.625 85.125 88.375 88.375 88.375 88.375 88.375
  87.125 86.25  85.625 85.125 85.    84.75  84.75  84.625 83.25  82.75
  82.5   81.875 81.875 81.875 81.875 81.875 81.875]]",[[89.83872988 90.00028105 80.02676634 56.12145351]]
3,1.0,1.0,4.0,58.0,9.25,1.0,6.902477870011353,3.148532801991678,9.0,,4.0,61.14174738528958,"[[76.375 76.375 76.125 76.125 76.125 76.    75.625 75.    75.    75.
  75.    75.    75.    75.    75.    75.    75.    75.    75.    75.
  75.    75.    75.    75.    75.    75.    75.    74.625 74.375 74.375
  74.125 73.875 73.5   72.875 70.375 67.25  65.75  64.    60.875 55.5
  46.875 45.125 45.125 45.125 45.125 45.125 45.125 45.125 45.125 45.125
  45.125 45.125 45.125 45.125 45.125 45.125 45.125 45.125 45.125 45.125
  45.125 45.125 45.125 45.125 45.125 45.125 45.125 45.125 45.125 45.125
  45.125 45.125 45.125 45.125 45.125 45.125 45.125 45.125 48.125 56.75
  57.375 57.875 57.875 57.875 57.875 57.875]]",[[23.74335003 97.67729689 46.27534329 76.87099933]]
4,1.0,1.0,5.0,54.0,14.0,0.0,10.890441331997863,2.0863655319990357,0.0,,3.0,62.14345304945863,"[[52.875 52.875 52.875 52.875 52.875 52.875 52.875 52.875 52.875 52.75
  52.625 52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5
  52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5
  52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5
  52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5
  52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5
  52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5
  52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5
  52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5
  52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5
  52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.5   52.625 53.125
  53.125 53.125 53.125 53.125 53.125 53.    52.75  52.125 51.625 51.625
  51.625 51.25  51.25  51.25  51.25  51.125 51.    50.75  50.75  50.75
  50.75  50.75  50.75  50.75  50.75  50.75  50.75  50.75  51.    51.625
  51.875 52.25  52.625 53.375 53.75  53.75  53.75  53.75  53.75  53.75
  54.   ]]",[[90.74011657 75.19311005 20.49713253]]
5,1.0,1.0,6.0,60.0,16.25,1.0,8.030738014989765,1.3941017189936247,6.0,,5.0,64.88374923007466,"[[61.    61.    61.    61.    61.    61.    61.    61.75  61.875 61.875
  61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875
  61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875
  61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875
  61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875
  61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875
  61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875 61.875
  61.375 61.125 61.    60.75  60.75  60.75  60.75  60.75  60.875 63.75
  64.25  64.875 67.625 67.125 61.75  60.5   60.5   60.5   60.5   60.5
  60.5  ]]",[[86.55695038 81.24541494 69.97315493 29.04998478 57.59324112]]
6,1.0,1.0,7.0,41.0,7.75,1.0,6.817369438998867,1.5693685430014739,10.0,,3.0,42.269008921254425,"[[67.625 67.625 67.625 67.625 67.625 67.625 67.625 67.625 67.625 67.625
  67.625 67.625 67.625 67.625 67.625 67.625 67.625 67.625 67.625 67.625
  67.625 67.625 67.625 67.625 67.625 67.625 67.625 67.625 67.625 65.875
  63.375 60.    59.625 59.5   56.75  55.125 54.75  53.75  53.625 53.5
  53.375 53.375 53.375 53.375 53.375 53.375 53.375 53.375 53.375 53.375
  53.375 53.375 53.    51.375 50.    48.    46.625 45.375 45.    45.
  45.    45.    44.625 44.25  42.625 42.5   42.375 42.375 42.375 42.375
  42.125 41.875 41.5   41.25  41.25  41.25  41.125 41.    40.75  40.75
  40.75  40.75  40.75  40.75  40.75  40.625 40.625 40.625 40.625 40.625
  40.625 40.625]]",[[52.7018459  28.31655181 45.78862906]]
7,1.0,1.0,8.0,53.0,17.5,1.0,6.784768122000969,2.7151449999946635,6.0,,6.0,47.73312046619938,"[[44.875 44.875 44.875 44.875 44.875 44.875 44.875 44.875 44.875 44.875
  44.875 44.875 44.875 44.875 44.875 44.875 44.875 44.875 44.875 44.875
  44.875 44.875 44.875 44.875 44.875 44.875 44.875 44.875 44.875 45.
  45.    45.    45.    45.    45.    45.    45.    45.    45.    45.5
  45.5   45.5   45.5   45.5   45.5   45.5   45.5   45.5   45.875 45.875
  45.875 45.875 45.875 45.875 45.875 45.875 45.875 45.875 45.875 45.875
  48.75  53.125 53.5   53.5   53.5   53.5   53.5   53.5   53.375 53.375
  53.375 53.375 53.375 53.375]]",[[18.3698949   7.1523966  87.83733487 81.99195204  9.49613066 81.55101373]]
8,1.0,1.0,9.0,45.0,13.5,1.0,5.904586140997708,1.8544984639884206,7.0,,3.0,38.81989761670562,"[[44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25
  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25
  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25
  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25
  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25
  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25
  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25  44.25
  44.25  44.375 44.375 44.5   44.5   44.5   44.5   44.5   44.5   44.5
  44.625]]",[[31.90849312 13.84917223 70.7020275 ]]
9,1.0,1.0,10.0,57.0,18.0,1.0,7.203549590994953,1.3900628539995523,6.0,,3.0,58.96774227351614,"[[38.25  38.375 36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75
  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75
  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75
  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75
  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75
  36.75  36.75  36.75  36.75  36.75  37.375 38.125 38.375 38.625 38.75
  39.5   41.375 49.5   53.5   53.5   53.5   53.5   53.5   53.5   53.5
  53.5   53.5   53.5   53.625 53.75  54.375 54.875 54.875 54.875 54.875
  55.875 55.875 55.875 55.875 55.875 55.875 55.875 55.875 56.875 57.25
  57.25  57.25  57.25  57.25  57.25  57.25  57.25 ]]",[[79.99408118  3.6027919  93.30635374]]
