,Num_block,Block_ID,Trial_ID,Resp_loc,Resp_conf,Correct,RT_resp,RT_conf,Wager,X,N,x_mean,Mouse_track
0,0.0,3.0,1.0,28.875,2.5,1.0,5.272395352999993,2.2220225949999985,13.0,[[12.00403277 38.5108903  29.55075649 30.90009139]],4.0,27.74144273588616,"[[19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75
  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  19.75  21.
  33.375 43.25  48.75  51.875 52.625 52.625 52.625 52.    50.875 50.375
  50.25  50.25  50.25  50.25  50.25  49.875 48.75  47.5   45.75  44.75
  44.5   44.375 44.375 44.375 44.125 43.875 43.125 42.    40.25  38.75
  37.5   36.875 36.125 34.125 34.125 31.5   30.    29.625 29.625 29.625
  29.625 29.625 29.625 29.625 29.625 29.625 29.5   29.5   29.5   29.5
  29.5   29.5   29.5   29.5   29.5   29.5   29.375 29.125 29.    28.875
  28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875
  28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875
  28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875
  28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875
  28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875
  28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875
  28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875 28.875
  28.875 28.875 28.875 28.875]]"
1,0.0,3.0,2.0,80.0,1.5,1.0,2.5749122930000112,1.0539511040000065,13.0,[[90.92728124 80.56547567 82.89687374 76.99621344 68.44797662 79.54609897]],6.0,79.89665328035339,"[[30.125 30.125 30.375 30.5   30.5   30.5   30.5   30.5   30.5   30.5
  30.5   30.5   30.5   30.5   30.5   30.5   30.5   30.5   30.5   30.5
  30.5   30.5   30.5   30.5   30.5   30.5   30.5   30.5   30.5   30.5
  30.5   30.5   30.5   30.5   30.625 31.375 34.    40.625 44.625 52.125
  60.625 69.125 77.625 81.    82.5   82.875 82.875 82.875 82.875 82.875
  82.875 82.875 82.875 82.875 82.875 82.875 82.875 82.75  82.625 82.5
  82.375 82.375 82.375 82.375 82.375 82.375 82.25  82.    81.75  81.375
  81.375 81.375 81.25  81.125 80.875 80.875 80.875 80.875 80.75  80.625
  80.625 80.625 80.625 80.625 80.625 80.625 80.625 80.625 80.625 80.25
  80.125 80.125 80.125 80.    80.    80.    80.    80.    80.    80.
  80.    80.    80.    80.    80.    80.    80.    80.    80.    80.
  80.    80.    80.    80.    80.    80.    80.    80.    80.    80.
  80.    80.    80.    80.    80.    80.    80.    80.    80.    80.
  80.    80.    80.    80.    80.    80.   ]]"
2,0.0,3.0,3.0,51.125,6.25,1.0,1.8171421159999994,0.7337497569999982,10.0,[[76.10051682 52.76391105 65.19160704 10.57054979 26.77738906 60.4083422 ]],6.0,48.63538599123691,"[[80.875 80.875 80.875 80.875 80.875 80.875 80.875 80.875 80.875 80.875
  80.875 80.875 80.875 80.875 80.875 80.875 80.875 80.375 77.25  68.75
  59.    50.5   44.125 41.625 41.375 41.375 41.375 41.375 41.375 41.375
  41.375 41.375 41.5   43.625 47.    47.875 48.125 48.125 48.5   48.5
  49.375 50.125 50.375 50.5   50.5   50.5   50.5   50.5   50.5   50.5
  50.5   50.5   50.5   50.5   50.5   50.5   50.5   50.5   50.5   50.5
  50.5   50.5   50.5   50.5   50.5   50.5   50.5   50.5   50.5   50.5
  50.5   50.5   50.5   50.5   50.5   50.5   50.5   50.5   50.5   50.5
  50.5   50.5   50.625 50.625 50.75  50.75  50.75  50.75  50.75  50.75
  50.75  51.    51.125 51.125 51.125 51.125 51.125 51.125 51.125]]"
3,0.0,3.0,4.0,55.125,2.75,1.0,1.686698604,0.8568648749999994,13.0,[[41.29685866 46.08351515 57.08533353 56.7548891  62.97690772 58.60425705]],6.0,53.800293534926205,"[[54.25  54.25  54.25  54.25  54.25  54.25  54.25  54.25  54.25  54.25
  53.875 52.375 51.5   51.375 51.375 51.375 51.375 51.375 51.375 51.375
  51.375 51.375 51.375 51.375 51.375 51.375 51.375 51.375 51.375 51.5
  51.625 52.375 53.625 54.375 54.625 54.75  54.75  54.75  54.875 54.875
  54.875 54.875 54.875 54.875 54.875 54.875 54.875 54.875 54.875 54.875
  54.875 54.875 54.875 54.875 54.875 54.875 54.875 54.875 54.875 54.875
  54.875 54.875 54.875 54.875 54.875 54.875 54.875 54.875 54.875 54.875
  54.875 54.875 54.875 54.875 54.875 54.875 54.875 54.875 54.875 54.875
  54.875 54.875 54.875 54.875 54.875 55.    55.125 55.125 55.125 55.125
  55.125 55.125 55.125 55.125 55.125 55.125 55.125 55.125 55.125 55.125
  55.125]]"
4,0.0,3.0,5.0,78.5,14.0,1.0,1.6716467169999873,1.386099869000006,7.0,[[96.16999187 91.35224351 27.68360602]],3.0,71.7352804643528,"[[56.5   56.5   56.5   56.5   56.5   56.5   56.5   56.5   56.5   56.5
  56.5   56.5   56.5   56.5   56.5   56.5   56.5   56.5   56.5   56.5
  56.5   56.5   56.5   57.375 58.75  59.75  60.75  61.25  61.5   61.75
  62.    62.5   63.    63.875 64.375 64.5   64.75  65.125 65.75  66.875
  67.875 69.5   71.75  76.125 81.125 84.25  85.    85.    85.    85.
  85.    85.    85.    85.    85.125 84.875 84.625 83.875 83.25  82.25
  82.    82.    82.    82.    82.    82.    82.    82.    82.    82.
  82.    81.75  80.75  79.875 79.25  79.25  79.25  79.25  79.25  79.25
  79.25  79.125 79.    78.75  78.5   78.5   78.5   78.5   78.5   78.5
  78.5   78.5   78.5   78.5   78.5   78.5   78.5   78.5   78.5   78.5
  78.5  ]]"
5,0.0,3.0,6.0,14.375,1.25,1.0,1.8880797740000048,1.3377567530000078,14.0,[[24.83728684  4.17645366]],2.0,14.506870246060455,"[[85.375 85.375 85.25  85.125 85.125 85.125 85.125 85.125 85.125 85.125
  85.125 85.    84.875 84.375 84.125 83.75  83.375 83.125 82.5   81.25
  77.5   72.75  65.875 65.875 56.625 46.25  39.875 36.625 34.75  33.75
  32.875 31.875 30.    28.375 25.5   21.25  17.75  16.    15.375 15.25
  14.75  13.625 12.875 11.875 11.625 11.375 11.375 11.25  11.25  11.25
  11.25  11.25  11.5   11.875 12.125 12.875 13.    13.    13.125 13.25
  13.5   13.625 13.875 14.25  14.375 14.375 14.375 14.375 14.375 14.375
  14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375
  14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375
  14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375
  14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375 14.375
  14.375 14.375 14.375 14.375]]"
6,0.0,3.0,7.0,29.5,3.75,1.0,2.9070804090000024,0.9558061959999975,12.0,[[57.93299683  3.683326  ]],2.0,30.808161411889166,"[[15.    15.    15.    15.    15.    15.    15.    15.    15.    15.
  15.    15.    15.    15.    15.    15.    15.    15.    15.    15.
  15.    15.    15.    15.    15.625 19.625 22.    24.125 24.625 24.625
  24.625 24.625 24.625 24.625 24.75  24.875 25.125 25.5   25.75  25.75
  25.75  25.75  25.75  25.75  25.75  25.75  25.75  25.75  25.75  25.75
  25.875 26.5   27.5   28.125 28.5   28.625 28.75  28.875 29.125 29.125
  29.25  29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375
  29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375
  29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375
  29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375
  29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375
  29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375
  29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.375
  29.375 29.375 29.375 29.375 29.375 29.375 29.375 29.5   29.625 29.625
  29.625 29.625 29.625 29.625 29.625 29.625 29.625 29.625 29.625 29.625
  29.625 29.625 29.625 29.625 29.625 29.625 29.625 29.625 29.625 29.625
  29.625 29.5   29.5   29.5   29.5   29.5   29.5   29.5   29.5   29.5
  29.5   29.5   29.5   29.5   29.5  ]]"
7,0.0,3.0,8.0,61.625,3.25,0.0,3.645653390999996,0.6706947970000101,0.0,[[61.24331624 17.12834534 96.16990539 88.07714905 75.73935781 19.83367518]],6.0,59.69862483649971,"[[30.75  30.75  30.75  30.75  30.75  30.75  30.75  30.75  30.75  30.75
  30.75  30.75  30.75  30.75  30.75  30.75  30.75  30.875 30.875 31.
  31.125 31.5   32.375 34.25  36.875 40.125 44.    47.625 50.625 51.75
  52.25  52.375 52.5   52.5   52.5   52.5   52.5   52.625 53.    53.875
  55.125 56.875 57.875 58.5   58.75  58.875 59.25  59.75  60.375 60.75
  61.25  61.25  61.25  61.25  61.25  61.375 61.375 61.375 61.5   61.5
  61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5
  61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5
  61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5
  61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5
  61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5
  61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5
  61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5
  61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5
  61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5
  61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5
  61.5   61.5   61.375 61.25  61.125 61.    61.    61.    61.    61.
  61.    61.    60.875 60.875 60.875 60.875 60.875 60.875 60.875 60.875
  60.875 60.875 60.875 60.875 60.875 60.875 60.875 60.875 60.875 61.
  61.    61.    61.    61.125 61.25  61.25  61.375 61.375 61.375 61.5
  61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5
  61.625 61.625 61.625 61.625 61.625 61.625 61.625]]"
8,0.0,3.0,9.0,60.5,4.0,1.0,2.155788365999996,0.9404667329999938,12.0,[[32.68077929 88.04327517]],2.0,60.36202722953185,"[[63.25  63.25  63.25  63.25  63.25  63.25  63.25  63.25  63.25  63.25
  63.25  63.25  63.25  63.25  63.25  63.25  63.25  63.25  63.25  63.25
  63.25  63.25  63.25  63.25  63.25  63.25  63.25  63.25  63.25  63.25
  63.25  63.25  63.25  63.25  63.25  63.25  63.25  62.875 62.    61.5
  61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5
  61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5
  61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.5   61.125
  61.    61.    61.    61.    61.    61.    61.    61.    61.    61.
  61.    61.    61.    61.    61.    61.    61.    61.    61.    61.
  61.    61.    61.    61.    61.    61.    61.    60.875 60.875 60.875
  60.875 60.875 60.875 60.875 60.875 60.875 60.875 60.75  60.75  60.5
  60.5   60.5   60.5   60.5   60.5   60.5   60.5   60.5   60.5   60.5
  60.5   60.5   60.5   60.5   60.5   60.5   60.5   60.5   60.5   60.5  ]]"
9,0.0,3.0,10.0,35.625,3.25,0.0,2.138505392000013,0.7520342969999945,0.0,[[15.6820837  28.53170302 79.56876687 68.93461235  3.77089116]],5.0,39.297611419274475,"[[62.5   62.5   62.5   62.5   62.5   62.5   62.5   62.5   62.5   62.5
  62.5   62.5   62.5   62.5   62.5   62.5   62.5   62.5   62.5   62.5
  62.5   62.5   62.5   62.5   62.5   62.5   61.875 57.625 54.125 52.625
  52.375 52.375 52.375 51.875 51.875 50.75  50.    48.875 48.    47.375
  47.    46.375 44.375 41.    38.125 36.375 36.125 36.125 36.125 36.125
  36.125 36.125 36.125 36.125 36.125 36.125 36.125 36.125 36.125 36.125
  36.125 36.125 36.125 36.125 36.125 36.125 36.125 36.125 36.    35.875
  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75
  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75
  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75
  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75
  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.75  35.625
  35.625 35.625 35.625 35.625 35.625 35.625 35.625 35.625]]"
