,Num_block,Block_ID,Trial_ID,Resp_loc,Resp_conf,Correct,RT_resp,RT_conf,Wager,X,N,x_mean,Mouse_track
0,1.0,4.0,1.0,58.0,12.5,1.0,6.914130413999942,0.8155834589999813,8.0,[[72.9749099  92.32410951 34.2169614  45.15915975 45.98033931]],5.0,58.131095974975366,"[[17.625 17.625 17.625 17.625 17.625 17.625 17.625 17.625 17.625 17.625
  17.625 17.625 17.625 17.625 17.625 17.625 17.625 17.625 17.625 17.625
  17.625 17.625 18.25  18.25  13.25  13.    13.75  13.875 16.    17.
  23.125 27.5   28.375 28.75  28.875 28.875 40.625 40.75  40.75  40.75
  40.75  40.75  40.75  40.75  40.75  40.75  40.75  40.75  40.75  40.75
  40.75  40.75  40.75  41.375 43.125 55.25  64.125 64.375 48.875 48.125
  48.125 49.5   57.875 58.875 58.875 59.    58.875 57.5   56.625 56.625
  56.625 56.75  57.5   57.75  57.75  57.75  57.75  57.75  57.75  57.75
  57.75  57.875]]"
1,1.0,4.0,2.0,46.0,6.5,0.0,4.227452969000069,0.6547874599999659,0.0,[[86.11756744 47.57395346 15.83980221 30.38785423 25.01218619]],5.0,40.98627270731856,"[[64.25  64.25  64.25  64.25  64.25  64.25  64.25  64.25  64.25  63.5
  58.    56.25  55.625 55.    48.125 48.    47.5   47.    47.    47.
  47.    47.    47.5   50.25  53.5   53.5   53.5   53.5   53.5   53.5
  53.5   53.5   53.5   53.5   52.75  50.625 49.25  49.25  49.25  49.25
  48.875 45.875 45.875 45.875 46.    46.    46.    46.    46.   ]]"
2,1.0,4.0,3.0,5.0,2.0,1.0,3.607041403999915,1.2994811590000381,13.0,[[5.60108934 5.68099764]],2.0,5.641043489040632,"[[42.75  43.125 43.375 43.375 43.375 43.375 43.375 43.375 43.375 43.375
  43.375 39.125 27.375 26.375 25.375 23.375 11.375 10.75  10.75  10.375
  10.125 10.125 10.125 10.125 10.125  8.875  6.625  6.5    6.5    6.5
   6.5    6.5    6.5    6.5    6.5    5.5    5.5    5.5    5.5    5.5
   5.5    5.5    5.125  5.125  5.125  4.625  4.625  4.625  4.625  4.625
   4.625  4.625  4.625  4.625]]"
3,1.0,4.0,4.0,37.0,5.5,1.0,34.60936325400007,1.7534771109999383,11.0,[[69.87197335 68.34596306  1.08803215 10.63734396]],4.0,37.48582812688578,"[[ 6.     6.     6.     7.25   8.     8.     8.     8.     8.     8.
   8.     8.5    9.125  9.875  9.875  9.875 10.75  12.375 13.125 13.25
  13.25  15.5   15.625 15.625 15.625 15.875 15.875 15.875 15.875 15.875
  15.875 15.875 15.875 15.875 15.875 15.875 15.875 15.875 15.875 15.875
  15.875 15.875 15.875 15.875 15.875 15.875 15.875 15.875 15.875 15.875
  15.875 15.875 15.875 15.875 15.875 15.875 16.    16.125 16.25  17.
  18.125 18.125 18.125 18.125 18.125 18.125 18.125 18.125 18.125 18.125
  18.125 18.125 18.125 18.125 18.125 18.125 18.125 18.125 18.125 18.125
  18.125 18.125 18.125 18.125 18.125 18.125 18.375 19.125 19.75  21.25
  23.375 23.75  23.75  23.75  23.75  23.75  23.75  23.75  23.75  23.75
  23.75  23.75  23.75  23.75  23.75  23.75  23.75  23.75  23.75  23.75
  23.75  23.75  23.75  23.75  23.75  23.75  23.75  23.75  23.75  23.75
  23.75  23.75  23.75  23.75  23.625 23.625 23.625 23.625 23.625 23.75
  23.75  23.75  23.75  23.75  23.75  23.375 23.25  23.25  23.25  23.25
  23.25  23.25  23.25  23.25  23.25  23.25  23.25  23.25  23.25  23.25
  23.25  23.25  23.25  23.25  23.25  23.25  23.25  23.25  23.25  23.25
  23.25  23.25  23.25  23.25  23.25  23.875 26.875 29.75  33.25  33.875
  34.875 36.75  37.625 39.    39.    39.    39.    39.    39.    39.
  39.    39.    39.    39.    39.    39.    39.    39.    39.125 39.375
  39.375 39.5   39.5   39.5   39.875 40.625 43.375 43.375 43.375 43.375
  43.375 38.    37.75  37.75  37.75  37.75  37.75  37.75  37.75  37.75
  37.75  37.75  37.75  37.75  37.75  37.75  37.75  37.75  37.75  37.75
  37.75  37.75  37.75  37.75  37.75  37.75  37.75  37.75  37.75  37.75
  37.75  37.75  37.75  37.75  37.75  37.625 37.625 37.625 37.625 37.625
  37.5   36.875 36.875 36.875 36.75  36.75  36.75  36.75  36.75  36.75
  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75
  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75
  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75
  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75
  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.75  36.375
  35.875 35.25  35.    35.    35.    35.    35.    35.    35.    35.
  34.625 34.625 34.625 34.625 34.625 34.25  34.    34.    34.    34.
  34.    34.    34.    34.    34.    34.    34.    34.    34.    34.
  34.    34.    34.    34.    34.    34.    34.    34.    34.    34.
  34.    34.    34.    34.    34.    34.    34.    34.    34.    34.
  34.    34.    34.    34.    34.    34.    34.    34.    34.    34.
  34.    34.    34.    34.    34.    34.    34.    34.    34.    34.
  34.    34.    34.    34.    34.    34.    34.    34.    34.    34.
  34.    34.    34.    34.    34.    35.375 37.25  37.5   37.5   37.5
  37.5   37.5   37.5   37.5   37.5   37.25  37.25  37.    37.    37.
  37.    36.625 36.5   36.375 36.375 36.375 36.375 36.375 36.375 36.875
  37.875 38.375 38.375 38.375 38.375 38.125 36.875 36.75  36.75  36.75
  36.75  36.75 ]]"
4,1.0,4.0,5.0,33.0,4.5,1.0,4.143811809999988,0.8389679970000543,11.0,[[20.83257284 44.04740397 52.78462639 12.04324389]],4.0,32.42696177412027,"[[34.25  34.75  35.625 35.75  36.125 36.625 36.75  38.    39.75  42.5
  42.75  42.75  42.75  42.75  42.75  42.75  42.75  42.75  42.75  42.75
  42.75  42.75  42.875 42.875 42.875 42.875 42.875 41.25  40.75  40.75
  40.75  40.75  40.75  39.    39.    39.    31.375 30.25  30.25  30.375
  30.75  32.75  33.25  33.25  33.25  33.25  33.125 33.125 33.125]]"
5,1.0,4.0,6.0,40.0,7.75,1.0,4.792764383999952,0.7688476820000005,10.0,[[ 7.60550272 52.76685126  7.0376577  99.6474926  46.29960826]],5.0,42.67142250741058,"[[35.25  35.25  35.375 35.375 35.375 35.375 35.375 35.375 35.5   36.125
  36.125 36.25  36.25  37.    37.25  38.25  39.125 39.625 40.625 40.625
  40.625 40.625 40.625 40.625 40.625 40.625 40.625 40.625 40.625 40.625
  40.625 40.625 40.625 40.625 40.625 40.625 40.625 40.625 40.625 40.625
  40.5   40.25  39.625 38.625 38.125 38.125 38.25  38.75  38.875 39.
  39.125 39.25  39.375 39.5   39.625]]"
6,1.0,4.0,7.0,61.0,5.75,1.0,12.138708235999957,1.1104252550001092,11.0,[[99.79162786 99.7015028  27.89075131 29.91869984 44.18611308]],5.0,60.29773897661655,"[[36.125 36.125 36.125 36.125 36.875 36.875 36.875 36.875 37.875 38.75
  40.375 41.875 45.25  52.125 57.125 59.5   59.5   59.5   59.5   59.625
  59.375 59.125 59.125 59.125 59.125 57.75  57.75  57.75  57.75  57.75
  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75
  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75
  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75
  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75
  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75
  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75  57.75
  57.75  57.75  57.75  57.75  57.75  57.75  56.75  56.    54.25  50.625
  50.25  49.875 49.875 49.875 49.875 50.    50.375 55.25  55.25  55.25
  57.    57.5   57.5   57.875 58.25  59.    59.375 59.625 59.625 59.625
  59.625 59.625 59.625 59.625 59.625 59.625 59.25  58.875 58.875 58.875
  60.875 61.5   61.    61.    61.    61.   ]]"
7,1.0,4.0,8.0,58.0,2.25,1.0,4.1576473139999734,0.9968630270000176,13.0,[[50.8239632  66.98657754]],2.0,58.90527036918367,"[[58.    57.25  57.25  57.25  57.25  57.25  57.25  57.25  57.25  57.25
  57.25  57.25  57.25  57.25  57.25  57.25  57.25  57.25  57.25  57.25
  57.25  57.25  57.25  57.25  57.25  57.25  57.25  57.25  57.25  56.125
  55.375 55.125 54.125 54.125 54.75  55.    55.    55.    55.    55.
  55.    56.375 56.5   56.5   56.75  57.125 57.125 57.375 57.75  57.75
  57.75  58.375 58.375 58.375 58.375 58.375 58.25  58.25  58.25 ]]"
8,1.0,4.0,9.0,44.0,6.75,1.0,2.720461085000011,0.9380941960000655,10.0,[[18.73688791 28.17415656 54.09494343 37.97277274 93.89538536]],5.0,46.57482920083085,"[[59.125 59.125 59.125 59.125 59.125 59.125 59.125 58.875 57.875 57.75
  57.75  57.75  57.75  57.5   57.375 57.375 52.75  48.125 46.75  46.75
  46.75  46.75  46.75  46.75  46.375 45.125 44.25  44.25  44.25 ]]"
9,1.0,4.0,10.0,64.0,5.75,1.0,14.049793537000028,1.4804997680000724,11.0,[[77.32813022 53.06252692]],2.0,65.19532856985701,"[[47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375
  47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375
  47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375
  47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375
  47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375
  47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375
  47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375
  47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375
  47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375
  47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375
  47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375
  47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375
  47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375
  47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.375 47.75  47.75
  47.75  47.75  47.75  47.75  47.75  47.75  47.75  47.75  47.75  47.75
  47.75  47.75  47.75  47.875 53.5   58.75  58.875 58.875 58.875 58.875
  58.875 58.875 58.875 61.625 66.    66.75  67.75  68.    68.125 68.125
  68.125 68.125 67.75  67.25  66.625 66.625 65.375 63.375 63.375 63.375
  63.375 63.375 63.375 63.375 63.5   63.5   63.5   63.75  63.75  63.75
  63.75  63.75  64.125 64.375 64.375 64.375 64.375 64.375]]"
