,Num_block,Block_ID,Trial_ID,Resp_loc,Resp_conf,Correct,RT_resp,RT_conf,Wager,X,N,x_mean,Mouse_track
0,1.0,1.0,1.0,53.0,7.75,0.0,5.007405324999127,2.328140017998521,0.0,[[18.3872857  69.0582078  79.1584654  79.88881622]],4.0,61.6231937817178,"[[ 31.125  31.125  31.125  31.125  31.125  31.125  31.125  31.125  31.125
   31.125  31.125  31.125  31.125  31.125  31.125 100.    100.    100.
  100.    100.    100.    100.    100.    100.    100.    100.    100.
  100.    100.    100.    100.    100.    100.     80.5    48.125   0.
    0.     17.375  35.125  35.     60.     80.25   78.875  70.25   51.75
   51.75   51.75   51.75   51.5    51.5    51.5    52.     52.25   52.75
   53.125  53.125  53.125  53.125  53.125  53.125]]"
1,1.0,1.0,2.0,49.0,11.25,1.0,6.408599766000407,2.1846610339998733,8.0,[[72.33610754 91.83900475 46.66069535  8.70099093  0.333917   72.27236634]],6.0,48.69051365153884,"[[49.125 50.625 50.625 50.625 50.625 50.625 50.625 50.625 50.5   50.5
  50.5   50.5   50.5   50.5   50.5   50.5   50.5   50.5   58.5   58.5
  58.5   58.5   58.5   58.5   58.5   58.375 54.375 54.375 54.375 53.375
  53.375 53.375 53.375 53.375 53.375 53.375 53.375 53.375 53.375 53.375
  53.125 52.875 52.75  52.75  52.75  52.75  52.75  52.75  52.75  52.75
  52.75  52.625 52.375 52.    51.625 51.625 51.625 49.25  48.875 48.25
  47.125 47.125 47.125 47.125 47.125 48.125 49.375 49.375 49.375 49.375]]"
2,1.0,1.0,3.0,50.0,4.0,0.0,3.6432738910007174,1.8219970949976414,0.0,[[23.54316117 81.87542227 45.52946915 61.58364614]],4.0,53.13292468324347,"[[43.375 43.375 43.375 43.125 42.375 42.375 42.375 42.375 42.375 42.375
  42.375 48.75  49.75  49.75  49.75  49.75  50.    50.    50.    50.
  50.    50.    50.    50.    50.    50.    50.    50.    50.    50.
  48.875 44.25  44.25  44.375 48.    48.125 48.25  48.75  50.    50.
  50.    50.    50.   ]]"
3,1.0,1.0,4.0,48.0,10.5,1.0,5.769907841000531,2.2558563480015437,8.0,[[37.88493156 33.58717235 74.55505508 57.73856029 68.37071813  0.69950776]],6.0,45.472657530013485,"[[47.625 47.625 47.625 47.625 47.625 47.625 47.625 47.625 47.625 47.625
  47.625 47.625 47.625 47.125 44.5   44.    44.    44.    44.    44.25
  46.25  46.25  46.25  46.25  46.25  46.25  46.25  46.25  46.25  46.25
  46.25  46.25  46.25  46.25  46.25  47.125 50.25  50.25  50.25  50.25
  50.25  50.25  50.25  50.25  50.25  50.25  50.25  50.25  50.25  50.25
  50.25  50.25  49.75  49.    48.5   48.125 47.875 47.5   47.5   47.5
  47.5   47.5  ]]"
4,1.0,1.0,5.0,41.0,12.25,1.0,8.695258604999253,2.673120958999789,8.0,[[ 6.46172372 64.3349962  69.06245436 32.19817903 36.61632982 16.0833839 ]],6.0,37.45951117391238,"[[42.75  42.75  42.75  42.75  42.75  43.5   43.5   43.5   43.5   55.75
  58.875 60.25  60.25  60.25  60.25  60.25  60.25  57.25  54.5   54.5
  54.5   52.375 51.625 51.5   51.5   51.5   51.5   51.375 51.25  51.25
  51.25  51.25  51.25  51.25  51.25  51.25  51.25  51.25  51.25  51.25
  51.25  51.25  51.25  51.25  51.25  51.25  52.25  52.625 52.625 53.25
  53.25  53.25  53.25  53.5   54.75  54.75  52.75  48.75  46.375 45.875
  45.875 41.75  41.375 41.375 41.375 41.375 41.375 41.375 41.125 36.5
  36.5   36.5   36.5   41.5   41.625 41.625 41.625 41.375 41.   ]]"
5,1.0,1.0,6.0,37.0,7.75,1.0,6.770577094001055,2.2126611409985344,10.0,[[56.56579228 20.45179965 14.15751657 86.17379942  1.84025375]],5.0,35.837832334310136,"[[34.875 34.875 34.875 34.875 34.875 35.    35.    35.    35.    35.
  35.    35.    35.    35.    35.    35.    36.125 36.125 36.125 36.125
  36.125 36.125 36.375 36.375 36.375 36.625 36.625 36.625 36.625 39.5
  43.125 43.125 43.125 43.125 43.125 43.125 44.5   45.125 45.125 46.125
  46.75  46.75  45.75  43.875 41.375 33.625 33.5   33.5   33.5   33.5
  33.5   33.875 34.25  35.625 35.75  35.75  35.875 35.875 35.875 35.875
  35.875 37.    37.25  37.375 37.375 37.375 37.375 37.375 37.375]]"
6,1.0,1.0,7.0,50.0,8.75,1.0,5.465928462999727,1.82536159799929,9.0,[[ 3.48560059 87.40167499 82.7791703  51.14904472 45.93120842]],5.0,54.14933980658159,"[[33.125 33.125 33.125 33.125 33.125 33.125 33.125 33.125 33.125 33.125
  33.125 33.125 33.125 33.125 33.125 33.125 33.125 33.125 33.125 33.125
  33.125 33.125 33.125 33.125 33.125 33.125 33.125 33.125 33.125 33.625
  36.375 36.375 36.375 36.375 36.375 40.375 45.    45.625 45.875 45.875
  45.875 46.25  47.625 48.125 49.    49.125 49.25  49.25  49.25  50.125
  50.125 50.125 50.125 50.125 50.125 50.125]]"
7,1.0,1.0,8.0,60.0,8.75,1.0,5.924979397997959,1.5567406449990813,9.0,[[73.31319136 70.74188175 53.40821682 45.33626598]],4.0,60.69988897849405,"[[45.625 45.625 45.625 45.625 45.625 45.625 45.625 45.625 45.625 45.625
  45.625 45.625 45.625 45.625 45.625 45.625 45.625 45.625 45.625 45.625
  45.625 45.625 45.625 45.625 45.625 48.75  48.75  48.75  48.75  48.75
  48.75  49.    49.375 49.5   50.125 50.125 50.125 50.    48.25  47.625
  47.5   47.5   47.5   47.5   50.75  54.375 55.    55.375 55.625 57.625
  58.    58.375 59.625 59.625 59.625 59.625 59.625 59.625 59.875 59.875
  59.875 59.875 59.875 59.875 59.875 59.875 59.875 59.875]]"
8,1.0,1.0,9.0,37.0,9.5,1.0,6.772540488000232,1.9229147999976703,9.0,[[38.46969379 31.08211581  9.43746789 58.19590321  5.05268275 76.89251831]],6.0,36.521730294694805,"[[55.625 55.625 55.625 55.625 55.625 55.625 56.    56.    56.    56.
  56.    56.    56.    56.    56.    56.    56.    56.    56.    56.
  56.    56.    56.    56.    56.    56.    56.    56.    56.    56.
  56.    56.    56.    56.    56.    56.    56.    56.    56.    54.5
  52.5   50.875 50.375 49.875 49.875 49.875 48.5   45.375 42.875 41.625
  41.125 39.5   39.375 39.375 38.375 38.125 37.75  37.625 37.625 36.875
  36.75  36.75  36.75  36.75  36.75  36.75  36.75 ]]"
9,1.0,1.0,10.0,24.0,16.25,1.0,7.98065823199795,1.658367748997989,6.0,[[77.42677611  8.68337213  8.37537926 10.34553981]],4.0,26.207766826299714,"[[32.25  32.25  32.25  32.25  32.25  32.25  32.375 42.375 42.375 42.375
  42.375 42.375 42.375 42.375 42.375 42.375 42.375 42.625 46.125 49.625
  49.625 49.625 49.625 49.625 49.625 49.625 49.625 49.625 49.625 49.625
  49.625 49.625 49.625 49.625 49.625 49.625 49.625 49.625 49.625 49.625
  49.625 49.625 49.625 49.625 49.625 49.625 49.625 49.625 49.875 49.875
  49.875 49.875 50.125 50.5   50.5   50.5   50.5   50.5   50.75  50.75
  51.125 51.125 51.125 51.125 51.375 51.375 51.375 51.375 51.25  51.25
  51.25  51.    50.625 49.75  48.375 48.25  48.25  44.75  30.25  30.25
  30.    29.125 28.375 22.75  19.875 19.875 20.5   23.5   23.625 23.625
  23.625]]"
